"NOME_MUNICIPIO","INDICADOR_329","INDICADOR_62","INDICADOR_199","INDICADOR_200","INDICADOR_333","INDICADOR_181","INDICADOR_182","INDICADOR_188","INDICADOR_189","INDICADOR_289","INDICADOR_290","INDICADOR_202","INDICADOR_184","INDICADOR_7","INDICADOR_201"
"Catolé do Rocha","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"Caturité","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Conceição","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Condado","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Conde","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Congo","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"Coremas","0","0","0","0","0","3","0","3","0","0","0","0","0","0","0"
"Coxixola","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"Cruz do Espírito Santo","0","0","3","3","0","3","0","3","0","0","0","0","0","0","0"
"Cubati","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cuité","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cuité de Mamanguape","0","0","1","3","0","1","0","3","0","0","0","0","0","0","0"
"Cuitegi","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"Curral de Cima","0","1","0","3","0","1","0","3","0","0","0","0","0","0","0"
"Curral Velho","0","0","0","3","0","0","0","2","0","1","0","0","0","1","0"
"Damião","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Desterro","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0"
"Diamante","0","0","3","3","0","3","0","3","0","0","0","0","0","0","0"
"Dona Inês","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"Duas Estradas","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"Emas","0","0","3","0","0","1","0","0","0","0","0","0","0","0","0"
"Esperança","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Fagundes","0","0","0","3","0","0","0","3","0","0","0","0","0","0","0"
"Frei Martinho","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gado Bravo","0","0","3","3","0","0","0","3","0","0","0","0","0","0","0"
"Guarabira","0","0","1","1","0","0","2","3","0","0","0","0","0","0","0"
"Gurinhém","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gurjão","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0"
"Ibiara","0","0","0","0","0","3","0","3","0","0","0","0","0","2","0"
"Igaracy","0","0","2","0","0","0","3","3","2","0","0","0","0","0","0"
"Imaculada","0","0","1","0","0","1","0","3","0","0","0","0","0","0","0"
"Ingá","0","0","3","0","0","0","0","2","1","0","0","0","0","0","0"
"Itabaiana","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0"
"Itaporanga","0","0","0","3","0","0","0","3","0","0","0","0","0","0","0"
"Itapororoca","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0"
"Itatuba","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0"
"Jacaraú","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jericó","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"João Pessoa","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Juarez Távora","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"Juazeirinho","0","0","3","3","0","0","0","1","0","0","0","0","0","0","0"
"Junco do Seridó","0","0","0","3","0","0","0","3","0","0","0","0","0","0","0"
"Juripiranga","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Juru","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"Lagoa","0","0","0","0","0","0","0","0","0","0","0","0","1","3","0"
"Lagoa de Dentro","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"Lagoa Seca","0","0","0","3","0","0","0","3","0","0","0","0","0","0","0"
"Lastro","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"Livramento","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Logradouro","0","0","3","0","0","0","0","1","0","0","0","0","0","0","0"
"Lucena","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mãe d'Água","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Malta","0","0","0","3","0","0","0","0","0","0","0","0","0","1","0"
"Mamanguape","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Manaíra","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Marcação","0","0","1","3","0","3","0","3","0","0","0","0","0","0","0"
"Mari","0","0","3","0","0","0","0","3","0","0","0","0","0","0","0"
"Marizópolis","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"Massaranduba","0","0","3","1","0","2","0","3","0","0","0","0","0","0","0"
"Mataraca","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Matinhas","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mato Grosso","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0"
"Maturéia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mogeiro","0","0","1","3","0","1","0","3","0","1","0","0","0","1","0"
"Montadas","0","0","0","2","0","0","0","3","0","0","0","0","0","0","0"
"Monte Horebe","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0"
"Monteiro","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mulungu","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Natuba","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Nazarezinho","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0"
"Nova Floresta","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Nova Olinda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nova Palmeira","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0"
"Olho d'Água","0","0","3","3","0","3","0","3","0","0","0","0","0","0","0"
"Olivedos","0","0","0","3","0","2","0","3","1","0","0","0","0","0","0"
"Ouro Velho","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Parari","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0"
"Passagem","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"Patos","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Paulista","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"Pedra Branca","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pedra Lavrada","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pedras de Fogo","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pedro Régis","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Piancó","0","0","3","2","0","0","0","2","0","0","0","0","0","0","0"
"Picuí","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pilões","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pilõezinhos","0","0","3","1","0","1","0","3","0","0","0","0","0","0","0"
"Pilar","0","0","2","2","0","0","0","3","0","0","0","0","0","0","0"
"Pirpirituba","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pitimbu","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Poço Dantas","0","0","0","3","0","0","3","0","0","0","0","0","0","0","0"
"Poço de José de Moura","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"Pocinhos","0","0","0","0","0","0","2","0","3","0","0","0","0","0","0"
"Pombal","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Prata","0","0","0","0","0","3","0","3","0","0","0","0","0","2","0"
"Princesa Isabel","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Puxinanã","0","0","1","0","0","2","0","2","0","0","0","0","0","0","0"
"Queimadas","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Quixabá","0","0","0","3","0","0","0","0","0","0","0","0","0","3","0"
"Remígio","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Riachão","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"Riachão do Bacamarte","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Riachão do Poço","0","0","0","3","0","0","0","0","0","0","0","0","1","0","0"
"Riacho de Santo Antônio","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0"
"Riacho dos Cavalos","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0"
"Rio Tinto","0","0","0","0","0","1","0","3","0","0","0","0","0","0","0"
"São Bentinho","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"São Bento","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"São Domingos","0","0","2","0","0","2","0","3","0","0","0","0","0","0","0"
"São Domingos do Cariri","0","0","0","0","0","3","3","0","3","0","0","0","0","2","0"
"São Francisco","0","0","3","3","0","2","0","3","0","0","0","0","0","1","0"
"São João do Cariri","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"São João do Rio do Peixe","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0"
"São João do Tigre","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"São José da Lagoa Tapada","0","0","3","1","0","1","0","2","0","0","0","0","0","0","0"
"São José de Caiana","0","0","1","3","0","2","0","0","0","0","0","0","0","0","0"
"São José de Espinharas","0","0","2","0","0","2","0","3","0","0","0","0","0","0","0"
"São José de Piranhas","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0"
"São José de Princesa","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"São José do Bonfim","0","0","0","3","0","1","0","3","0","0","0","0","0","0","0"
"São José do Brejo do Cruz","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"São José do Sabugi","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"São José dos Cordeiros","0","0","3","0","0","0","0","3","0","0","0","0","0","3","0"
"São José dos Ramos","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"São Mamede","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"São Miguel de Taipu","0","0","3","2","0","0","0","3","0","0","0","0","0","0","0"
"São Sebastião de Lagoa de Roça","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"São Sebastião do Umbuzeiro","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"Salgadinho","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"Salgado de São Félix","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Santa Cecília","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Santa Cruz","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0"
"Santa Helena","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Santa Inês","0","0","3","0","0","0","0","0","0","0","0","0","0","2","0"
"Santa Luzia","0","0","0","0","0","1","0","3","0","0","0","0","0","0","0"
"Santa Rita","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Santa Teresinha","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Santana de Mangueira","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"Santana dos Garrotes","0","0","3","3","0","3","2","3","1","0","0","0","0","0","0"
"Santarém","0","0","3","1","0","1","0","3","0","0","0","0","0","2","0"
"Santo André","0","0","0","0","0","3","0","0","0","1","0","0","0","0","0"
"Sapé","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"Seridó","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"Serra Branca","0","0","1","0","0","2","1","2","0","0","0","0","0","0","0"
"Serra da Raiz","0","0","0","0","0","3","0","3","0","0","0","0","0","1","0"
"Serra Grande","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"Serra Redonda","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0"
"Serraria","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sertãozinho","0","0","0","2","0","0","0","3","0","0","0","0","0","0","0"
"Sobrado","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Solânea","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Soledade","0","0","3","3","0","1","0","3","0","0","0","0","0","0","0"
"Sossêgo","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sousa","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Sumé","0","0","0","3","0","0","0","3","0","0","0","0","0","0","0"
"Tacima","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Taperoá","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tavares","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0"
"Teixeira","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tenório","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"Triunfo","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0"
"Uiraúna","0","0","3","0","0","0","0","3","0","0","0","0","0","0","0"
"Umbuzeiro","0","0","3","3","0","1","0","3","0","0","0","0","0","0","0"
"Várzea","0","0","0","3","0","2","0","2","0","0","0","0","0","0","0"
"Vieirópolis","0","0","3","1","0","3","0","3","0","0","0","0","0","0","0"
"Vista Serrana","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Zabelê","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0"
