"NOME_MUNICIPIO","INDICADOR_329","INDICADOR_62","INDICADOR_199","INDICADOR_200","INDICADOR_333","INDICADOR_181","INDICADOR_182","INDICADOR_188","INDICADOR_189","INDICADOR_289","INDICADOR_290","INDICADOR_202","INDICADOR_184","INDICADOR_7","INDICADOR_201"
"Água Branca","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Aguiar","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Alagoa Grande","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0"
"Alagoa Nova","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0"
"Alagoinha","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Alcantil","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0"
"Algodão de Jandaíra","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Alhandra","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"Amparo","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"Aparecida","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"Araçagi","0","0","3","1","0","1","0","3","0","0","0","0","0","0","0"
"Arara","0","0","0","0","0","3","0","3","0","0","0","0","0","0","0"
"Araruna","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Areia","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Areia de Baraúnas","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"Areial","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Aroeiras","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0"
"Assunção","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"Baía da Traição","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bananeiras","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Baraúna","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"Barra de São Miguel","0","0","1","0","0","3","0","3","0","0","0","0","0","0","0"
"Barra de Santa Rosa","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Barra de Santana","0","0","0","3","0","0","0","1","0","0","0","0","0","0","0"
"Bayeux","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Belém","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"Belém do Brejo do Cruz","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bernardino Batista","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Boa Ventura","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Boa Vista","0","0","0","3","0","0","0","3","0","0","0","0","0","0","0"
"Bom Jesus","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0"
"Bom Sucesso","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0"
"Bonito de Santa Fé","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"Boqueirão","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"Borborema","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brejo do Cruz","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brejo dos Santos","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0"
"Caaporã","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Cabaceiras","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Cabedelo","0","0","1","0","0","3","0","3","0","0","0","0","0","0","0"
"Cachoeira dos Índios","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Cacimba de Areia","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0"
"Cacimba de Dentro","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cacimbas","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Caiçara","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0"
"Cajazeiras","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cajazeirinhas","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Caldas Brandão","0","0","3","3","0","3","0","3","0","1","0","0","0","0","0"
"Camalaú","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Campina Grande","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Capim","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Caraúbas","0","0","0","0","0","0","0","3","0","0","0","0","0","1","0"
"Carrapateira","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"Casserengue","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Catingueira","0","0","0","3","0","0","0","0","0","0","0","0","0","2","0"
