"COD_UF","NOME_UF","COD_MUNICIPIO","ANO","COD_MESO","NOME_MESO","COD_MICRO","NOME_MICRO","NOME_MUNICIPIO","INDICADOR_329","DESVIOS_PIOR_INDICADOR_329","INDICADOR_62","DESVIOS_MELHOR_INDICADOR_62","INDICADOR_199","DESVIOS_MELHOR_INDICADOR_199","INDICADOR_200","DESVIOS_MELHOR_INDICADOR_200","INDICADOR_333","DESVIOS_MELHOR_INDICADOR_333","INDICADOR_181","DESVIOS_PIOR_INDICADOR_181","INDICADOR_182","DESVIOS_PIOR_INDICADOR_182","INDICADOR_188","DESVIOS_MELHOR_INDICADOR_188","INDICADOR_189","DESVIOS_MELHOR_INDICADOR_189","INDICADOR_289","DESVIOS_MELHOR_INDICADOR_289","INDICADOR_290","DESVIOS_PIOR_INDICADOR_290","INDICADOR_202","DESVIOS_PIOR_INDICADOR_202","INDICADOR_184","DESVIOS_PIOR_INDICADOR_184","INDICADOR_7","DESVIOS_NEUTRO_INDICADOR_7","INDICADOR_201","DESVIOS_MELHOR_INDICADOR_201","receita","numero.matriculas","IFDM"
25,"Paraíba",2500106,2011,2501,"Sertão Paraibano",250107,"Serra do Teixeira","Água Branca",NA,NA,68.3589999603963,-1,4.5,2,4.1,2,NA,NA,2.2,2,NA,NA,90.7,2,NA,NA,55.6701030927835,-1,32.9896907216495,-1,32.6388888888889,1,20.9896907216495,-2,1967.69916994106,-2,0.755682,2,"13883623.18",2036,0.569221001805616
25,"Paraíba",2500205,2011,2501,"Sertão Paraibano",250105,"Piancó","Aguiar",NA,NA,63.9887455873325,-1,3.8,-1,3.5,1,NA,NA,5.7,1,28.1,-2,87,1,68.8,-1,45.7446808510638,-1,73.4042553191489,-4,45.6989247311828,-3,10.5212765957447,2,2973.99194752775,1,NA,NA,"10305673.85",991,0.560721312374741
25,"Paraíba",2500304,2011,2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Grande",NA,NA,74.8012318148054,1,3.3,-2,3.2,1,NA,NA,7.8,-1,NA,NA,67.7,-3,NA,NA,52.6881720430108,-1,29.3906810035842,-1,39.1414141414141,-1,18.752688172043,-1,2424.30300649847,-1,0.622161,1,"37137938.64",5232,0.591376098284881
25,"Paraíba",2500403,2011,2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Nova",NA,NA,71.895902160153,1,3.3,-2,2.8,-1,NA,NA,4.8,1,NA,NA,73.4,-2,NA,NA,77.0114942528736,1,2.87356321839081,2,40.6565656565657,-2,20.1436781609195,-1,2287.39047360913,-1,0.667654,1,"26592113.01",3505,0.583521015546026
25,"Paraíba",2500502,2011,2503,"Agreste Paraibano",250316,"Guarabira","Alagoinha",NA,NA,77.7152756289284,2,3.6,-1,3.5,1,NA,NA,6.5,-1,NA,NA,82.2,1,NA,NA,75.9615384615385,1,5.76923076923077,1,36.7283950617284,-1,22.3942307692308,-2,2321.73171747531,-1,0.621118,1,"18879588.26",2329,0.588932404868108
25,"Paraíba",2500536,2011,2502,"Borborema",250211,"Cariri Oriental","Alcantil",NA,NA,56.2740791708998,-2,3.9,1,3.7,2,NA,NA,2.9,1,NA,NA,85.3,1,NA,NA,46.6666666666667,-1,6.66666666666667,1,37.037037037037,-1,16.6333333333333,1,3034.01804609218,1,0.535943,-1,"9544957.90",998,0.601436128978119
25,"Paraíba",2500577,2011,2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Algodão de Jandaíra",NA,NA,61.3450984692073,-1,3.6,-1,3.1,-1,NA,NA,8.3,-1,NA,NA,79.9,-1,NA,NA,80.4878048780488,1,9.7560975609756,1,35.1851851851852,-1,19.4634146341463,-1,2742.34324561404,-1,NA,NA,"8171604.89",798,0.579977805070005
25,"Paraíba",2500601,2011,2504,"Mata Paraibana",250423,"Litoral Sul","Alhandra",NA,NA,59.1003925948953,-2,3.1,-2,2.9,-1,NA,NA,5.5,1,NA,NA,80.7,-1,NA,NA,43.4285714285714,-2,24.5714285714286,-1,31.3888888888889,1,17.9485714285714,-1,3673.71454227591,2,0.439343,-2,"38650341.51",3146,0.639466719784141
25,"Paraíba",2500734,2011,2502,"Borborema",250210,"Cariri Ocidental","Amparo",NA,NA,59.8770713830321,-2,4.1,1,3.6,1,NA,NA,4.9,1,NA,NA,86.6,1,NA,NA,17.0731707317073,-3,4.8780487804878,1,22.2222222222222,3,12.1951219512195,2,3353.28484,1,0.668938,1,"7693035.91",500,0.547443336581728
25,"Paraíba",2500775,2011,2501,"Sertão Paraibano",250103,"Sousa","Aparecida",NA,NA,70.5502216630385,1,3.9,1,4.1,2,NA,NA,2.4,2,NA,NA,86.3,1,NA,NA,74.468085106383,1,36.1702127659574,-1,38.562091503268,-1,13.6595744680851,1,2789.22554085603,1,0.575937,-1,"10023043.08",1285,0.551760388689351
25,"Paraíba",2500809,2011,2503,"Agreste Paraibano",250316,"Guarabira","Araçagi",NA,NA,75.1431834632719,1,2.9,-2,2.9,-1,NA,NA,12.2,-2,NA,NA,73.3,-2,NA,NA,47.4137931034483,-1,2.15517241379311,2,32.6797385620915,1,12.9956896551724,2,2825.5009367759,1,0.52656,-1,"22311778.22",3021,0.556714214398096
25,"Paraíba",2500908,2011,2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Arara",NA,NA,72.7556649264906,1,3.8,-1,NA,NA,NA,NA,22.3,-4,12.2,1,63.9,-3,85.1,1,67.3469387755102,1,30.6122448979592,-1,32.962962962963,1,20.8061224489796,-2,2381.75846983816,-1,0.561682,-1,"15208331.07",2039,0.532363673810597
25,"Paraíba",2501005,2011,2503,"Agreste Paraibano",250313,"Curimataú Oriental","Araruna",NA,NA,75.0190882108481,1,3.5,-1,2.9,-1,NA,NA,3.8,1,NA,NA,87.7,2,NA,NA,62.7659574468085,1,5.31914893617021,1,32.3361823361823,1,18.6436170212766,-1,2186.36210886292,-1,0.697957,1,"25060041.02",3509,0.608969063042481
25,"Paraíba",2501104,2011,2503,"Agreste Paraibano",250315,"Brejo Paraibano","Areia",NA,NA,72.9173876360677,1,3.1,-2,NA,NA,NA,NA,6.1,-1,NA,NA,79.8,-1,NA,NA,70.0564971751412,1,10.1694915254237,1,36.8055555555556,-1,18.1864406779661,-1,2811.94540540541,1,NA,NA,"26322595.74",3219,0.565549066715933
25,"Paraíba",2501153,2011,2501,"Sertão Paraibano",250104,"Patos","Areia de Baraúnas",NA,NA,58.7082966980718,-2,NA,NA,2.8,-1,NA,NA,8,-1,NA,NA,81.1,1,NA,NA,68.5714285714286,1,0,2,36.5740740740741,-1,12.3714285714286,2,4339.96321016166,3,0.496496,-2,"7610611.16",433,0.61167131071315
25,"Paraíba",2501203,2011,2503,"Agreste Paraibano",250314,"Esperança","Areial",NA,NA,78.1695148668057,2,4.8,2,3.4,1,NA,NA,0.8,2,NA,NA,87.6,2,NA,NA,87.1428571428571,2,2.85714285714286,2,32.6388888888889,1,20.9714285714286,-2,2102.10948228883,-2,0.775567,2,"9966892.34",1468,0.644566106343872
25,"Paraíba",2501302,2011,2503,"Agreste Paraibano",250319,"Umbuzeiro","Aroeiras",NA,NA,79.8789998175312,2,3.7,-1,2.9,-1,NA,NA,9.5,-2,NA,NA,78.9,-1,NA,NA,35.474006116208,-2,49.8470948012233,-2,40.3030303030303,-2,14.0764525993884,1,2301.71800999348,-1,0.643547,1,"26063080.24",4603,0.58112
25,"Paraíba",2501351,2011,2502,"Borborema",250210,"Cariri Ocidental","Assunção",NA,NA,71.0283954002964,1,3.9,1,3.3,1,NA,NA,3.4,1,NA,NA,77.2,-1,NA,NA,83.0188679245283,2,35.8490566037736,-1,35.4166666666667,-1,16.7169811320755,1,2787.51542889391,1,0.596791,-1,"8229590.93",886,0.611329599224993
25,"Paraíba",2501401,2011,2504,"Mata Paraibana",250420,"Litoral Norte","Baía da Traição",NA,NA,72.1984987603819,1,4.6,2,3.6,1,NA,NA,3.6,1,NA,NA,86.2,1,NA,NA,91.7808219178082,2,57.5342465753425,-3,30.3418803418803,1,13.7876712328767,1,2463.82099354198,-1,0.589911,-1,"12857591.70",2013,0.560286176668513
25,"Paraíba",2501500,2011,2503,"Agreste Paraibano",250315,"Brejo Paraibano","Bananeiras",NA,NA,74.6778735711493,1,4.1,1,3.6,1,NA,NA,6.4,-1,NA,NA,84.5,1,NA,NA,55.327868852459,-1,11.0655737704918,1,37.2222222222222,-1,17.3032786885246,-1,2388.90788065356,-1,0.649379,1,"31001615.77",4223,0.592167786149667
25,"Paraíba",2501534,2011,2502,"Borborema",250209,"Seridó Oriental Paraibano","Baraúna",NA,NA,62.9360818730189,-1,4.7,2,2.9,-1,NA,NA,7.8,-1,NA,NA,76.2,-1,NA,NA,85.7142857142857,2,9.52380952380952,1,36.1111111111111,-1,24.8333333333333,-3,2622.04558005753,-1,0.590968,-1,"8924089.38",1043,0.623995111017922
25,"Paraíba",2501708,2011,2502,"Borborema",250211,"Cariri Oriental","Barra de São Miguel",NA,NA,62.5125084419703,-1,4.8,2,3.9,2,NA,NA,9.3,-2,NA,NA,87.4,2,NA,NA,19.5876288659794,-3,70.1030927835052,-3,32.5396825396825,1,13.6907216494845,1,2414.66676957831,-1,0.583527,-1,"21060661.37",2822,0.604500275106728
25,"Paraíba",2501609,2011,2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Barra de Santa Rosa",NA,NA,75.6398141697843,1,4.5,2,2.8,-1,NA,NA,8,-1,NA,NA,69.2,-2,NA,NA,79.7202797202797,1,6.29370629370629,1,34.8888888888889,1,19.7272727272727,-1,2947.18040396882,1,0.523816,-1,"13229695.43",1759,0.619710059414297
25,"Paraíba",2501575,2011,2502,"Borborema",250211,"Cariri Oriental","Barra de Santana",NA,NA,66.2769126802823,-1,3.9,1,2.8,-1,NA,NA,3.9,1,2.5,2,85.5,1,90.8,1,90.0826446280992,2,22.3140495867769,-1,40.9090909090909,-2,14.5371900826446,1,2704.35449118818,-1,0.566372,-1,"9892006.78",1328,0.54265116801207
25,"Paraíba",2501807,2011,2504,"Mata Paraibana",250422,"João Pessoa","Bayeux",NA,NA,87.8011972579265,3,4,1,3.4,1,NA,NA,4.3,1,42.6,-3,84.9,1,56.2,-2,70.92866756393,1,58.6810228802153,-3,22.6984126984127,3,14.4656796769852,1,2276.37687796264,-1,0.730484,2,"87917879.46",10759,0.600481930965733
25,"Paraíba",2501906,2011,2503,"Agreste Paraibano",250316,"Guarabira","Belém",NA,NA,75.1071480870376,1,3.9,1,2.9,-1,NA,NA,6.9,-1,NA,NA,78,-1,NA,NA,34.8571428571429,-2,45.7142857142857,-2,32.7777777777778,1,13.5828571428571,1,2779.77261874738,-1,0.570606,-1,"27352899.47",2379,0.626962696910067
