"COD_UF","NOME_UF","COD_MUNICIPIO","ANO","COD_MESO","NOME_MESO","COD_MICRO","NOME_MICRO","NOME_MUNICIPIO","INDICADOR_329","DESVIOS_PIOR_INDICADOR_329","INDICADOR_62","DESVIOS_MELHOR_INDICADOR_62","INDICADOR_199","DESVIOS_MELHOR_INDICADOR_199","INDICADOR_200","DESVIOS_MELHOR_INDICADOR_200","INDICADOR_333","DESVIOS_MELHOR_INDICADOR_333","INDICADOR_181","DESVIOS_PIOR_INDICADOR_181","INDICADOR_182","DESVIOS_PIOR_INDICADOR_182","INDICADOR_188","DESVIOS_MELHOR_INDICADOR_188","INDICADOR_189","DESVIOS_MELHOR_INDICADOR_189","INDICADOR_289","DESVIOS_MELHOR_INDICADOR_289","INDICADOR_290","DESVIOS_PIOR_INDICADOR_290","INDICADOR_202","DESVIOS_PIOR_INDICADOR_202","INDICADOR_184","DESVIOS_PIOR_INDICADOR_184","INDICADOR_7","DESVIOS_NEUTRO_INDICADOR_7","INDICADOR_201","DESVIOS_MELHOR_INDICADOR_201"
25,"Paraíba",2500536,"2009",2502,"Borborema",250211,"Cariri Oriental","Alcantil",NA,NA,60.5683342083,-2,3.6,1,3.8,2,NA,NA,4.6,1,NA,NA,82.3,1,NA,NA,36.3636363636,-1,NA,NA,39.3939393939,-1,16.2727272727,1,2664.6981675484,1,0.62921,-2
25,"Paraíba",2500536,"2010",2502,"Borborema",250211,"Cariri Oriental","Alcantil",32.0067420665774,-1,68.5016894204,-1,NA,NA,NA,NA,87.0151206479039,-3,3.1,2,NA,NA,86.8,2,NA,NA,34.7826086957,-2,NA,NA,36.6666666667,1,14.6086956522,1,3055.8661762997,1,NA,NA
25,"Paraíba",2500536,"2011",2502,"Borborema",250211,"Cariri Oriental","Alcantil",NA,NA,56.2740791709,-2,3.9,1,3.7,2,NA,NA,2.9,1,NA,NA,85.3,1,NA,NA,46.6666666667,-1,6.6666666667,1,37.037037037,-1,16.6333333333,1,3034.0180460922,1,0.535943,-1
25,"Paraíba",2500536,"2012",2502,"Borborema",250211,"Cariri Oriental","Alcantil",NA,NA,37.7,-4,NA,NA,NA,NA,NA,NA,4.2,1,NA,NA,87.6,1,NA,NA,54.4117647059,-1,1.4705882353,2,41.36904762,-1,14.4705882353,1,3166.61,-1,NA,NA
25,"Paraíba",2500577,"2000",2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Algodão de Jandaíra",54.3993180582876,-2,NA,NA,NA,NA,NA,NA,78.6949608799522,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"Paraíba",2500577,"2007",2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Algodão de Jandaíra",NA,NA,71.7186904161,1,2.8,-1,2.7,-1,NA,NA,11.6,-1,NA,NA,65,-2,NA,NA,87.8048780488,-1,NA,NA,37.037037037,-1,17.7317073171,1,2094.4022819205,1,NA,NA
25,"Paraíba",2500577,"2008",2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Algodão de Jandaíra",NA,NA,69.0338916681,1,NA,NA,NA,NA,NA,NA,10.6,-1,NA,NA,76.1,1,NA,NA,77.5,2,NA,NA,41.6666666667,-1,21.45,-1,1845.6775112915,-1,NA,NA
25,"Paraíba",2500577,"2009",2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Algodão de Jandaíra",NA,NA,60.6208258935,-2,3.4,-1,2.5,-2,NA,NA,6.5,1,NA,NA,73.3,-1,NA,NA,72.5,2,NA,NA,41.6666666667,-1,20.125,-1,2341.0122148941,1,NA,NA
25,"Paraíba",2500577,"2010",2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Algodão de Jandaíra",32.9916119730192,-1,58.7533749619,-2,NA,NA,NA,NA,92.7332857967038,1,9.2,-1,NA,NA,73.3,-1,NA,NA,73.6842105263,2,NA,NA,41.6666666667,-1,21.4473684211,-2,2478.4021182943,-1,NA,NA
25,"Paraíba",2500577,"2011",2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Algodão de Jandaíra",NA,NA,61.3450984692,-1,3.6,-1,3.1,-1,NA,NA,8.3,-1,NA,NA,79.9,-1,NA,NA,80.487804878,1,9.756097561,1,35.1851851852,-1,19.4634146341,-1,2742.343245614,-1,NA,NA
25,"Paraíba",2500577,"2012",2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Algodão de Jandaíra",NA,NA,70.94,1,NA,NA,NA,NA,NA,NA,2.9,1,NA,NA,87,1,NA,NA,92.7272727273,2,1.8181818182,2,34.375,1,13.4,1,4375.62,2,NA,NA
25,"Paraíba",2500601,"2000",2504,"Mata Paraibana",250423,"Litoral Sul","Alhandra",37.1570058605922,1,NA,NA,NA,NA,NA,NA,86.69075069504,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
