"REGIAO","ANO","INDICADOR_329","INDICADOR_62","INDICADOR_199","INDICADOR_200","INDICADOR_333","INDICADOR_181","INDICADOR_182","INDICADOR_188","INDICADOR_189","INDICADOR_289","INDICADOR_290","INDICADOR_202","INDICADOR_184","INDICADOR_7","INDICADOR_201"
"Guarabira",2007,NA,70.1639038135,3.05,2.85,NA,9.55,2.2,77.25,83.1,41.380314502,NA,35.6790123457,19.55014245015,1624.8727413446,NA
"Guarabira",2008,NA,69.9725378708,NA,NA,NA,9.45,10.5,75.5,89.4,34.7376140808,NA,38.38383838385,17.72019230765,1803.67425250525,NA
"Guarabira",2009,NA,74.3448577509,3.4,3,NA,7.9,29.3,74.9,69,37.7275935074,NA,38.02469135805,16.75354609925,2102.1449965342,0.654319
"Guarabira",2010,35.7343469450428,74.43216393055,NA,NA,92.6946278006381,6.5,25.4,79,63.3,41.20962583945,NA,35.8305274972,17.67959468905,2297.20571894235,NA
"Guarabira",2011,NA,74.1567910163,3.6,2.9,NA,6.1,25.5,81.35,66.5,56.37829912025,8.4159166751,32.72875816995,17.34141414145,2608.5566319323,0.547196
"Itabaiana",2000,46.2854385878104,NA,NA,NA,83.9717003050276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Itabaiana",2007,NA,68.9559291696,2.8,2.3,NA,9.5,22.25,72.8,73.6,44,NA,37.1647509579,18.6666666667,1690.168463365,NA
"Itabaiana",2008,NA,69.1537538061,NA,NA,NA,12.3,22.4,70,70.2,34.5454545455,NA,41.3580246914,17.4262295082,2126.2440710134,NA
"Itabaiana",2009,NA,68.5752144383,3.1,2.7,NA,10,17.4,76.3,76.5,41.2371134021,NA,37.962962963,17.4375,1964.5203180146,0.661317
"Itabaiana",2010,37.8936149655382,68.3884515776,NA,NA,92.5225335544775,8.2,24,76.1,71.8,45.3846153846,NA,35.8974358974,16.6464646465,2166.9368615383,NA
"Itabaiana",2011,NA,69.2864978115,3.2,2.65,NA,7.2,12.3,79.5,82,46.7213114754,39.1304347826,33.3333333333,16.3311258278,2742.40514377,0.549747
"Itaporanga",2000,42.6354154192642,NA,NA,NA,82.5496012843337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Itaporanga",2007,NA,65.6669121584,3,2.75,NA,11.3,19.6,78,76.55,41.40625,NA,39.7569444444,15.4621848739,2085.2790822162,NA
