"","COD_UF","NOME_UF","COD_MUNICIPIO","ANO","COD_MESO","NOME_MESO","COD_MICRO","NOME_MICRO","NOME_MUNICIPIO","INDICADOR_329","OUTLIER_INDICADOR_329","INDICADOR_62","OUTLIER_INDICADOR_62","INDICADOR_89","OUTLIER_INDICADOR_89","INDICADOR_90","OUTLIER_INDICADOR_90","INDICADOR_333","OUTLIER_INDICADOR_333","INDICADOR_73","OUTLIER_INDICADOR_73","INDICADOR_74","OUTLIER_INDICADOR_74","INDICADOR_80","OUTLIER_INDICADOR_80","INDICADOR_81","OUTLIER_INDICADOR_81","INDICADOR_176","OUTLIER_INDICADOR_176","INDICADOR_177","OUTLIER_INDICADOR_177","INDICADOR_202","OUTLIER_INDICADOR_202","INDICADOR_184","OUTLIER_INDICADOR_184","INDICADOR_7","OUTLIER_INDICADOR_7","INDICADOR_201","OUTLIER_INDICADOR_201"
"1",25,"Paraíba",2500106,2000,2501,"Sertão Paraibano",250107,"Serra do Teixeira","Água Branca",37.58836978494,0,NA,NA,NA,NA,NA,NA,84.577688322326,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",25,"Paraíba",2500106,2007,2501,"Sertão Paraibano",250107,"Serra do Teixeira","Água Branca",NA,NA,73.4170809476668,0,NA,NA,2.3,0,NA,NA,24,0,10.3,0,59.2,0,79.2,0,94.1176470588235,0,NA,NA,39.6551724137931,0,22.6836734693878,0,1552.87846467702,0,NA,NA
"3",25,"Paraíba",2500106,2008,2501,"Sertão Paraibano",250107,"Serra do Teixeira","Água Branca",NA,NA,68.9999913566831,0,NA,NA,NA,NA,NA,NA,25.3,0,19.4,0,56.1,0,76.9,0,88.2352941176471,0,NA,NA,43.4156378600823,0,20.3267326732673,0,1820.02797282558,0,NA,NA
"4",25,"Paraíba",2500106,2009,2501,"Sertão Paraibano",250107,"Serra do Teixeira","Água Branca",NA,NA,74.6032529381755,0,NA,NA,2.6,0,NA,NA,21.8,0,19.7,0,59.4,0,74,0,90.1960784313726,0,NA,NA,38.2716049382716,0,21.2079207920792,0,1772.91131402344,0,0.894056,0
"5",25,"Paraíba",2500106,2010,2501,"Sertão Paraibano",250107,"Serra do Teixeira","Água Branca",29.6925785178386,0,79.0714657044489,0,NA,NA,NA,NA,89.6292109574899,0,25.5,0,15.9,0,60.1,0,71.4,0,90.1960784313726,0,NA,NA,36,0,21.2772277227723,0,1889.05906173791,0,NA,NA
"6",25,"Paraíba",2500106,2011,2501,"Sertão Paraibano",250107,"Serra do Teixeira","Água Branca",NA,NA,68.3589999603963,0,NA,NA,2.8,0,NA,NA,16.6,0,6.7,0,65.8,0,78.6,0,93.1818181818182,0,13.6363636363636,0,32.6388888888889,0,20.9896907216495,0,1967.69916994106,0,0.755682,0
"7",25,"Paraíba",2500205,2000,2501,"Sertão Paraibano",250105,"Piancó","Aguiar",49.5204577697304,0,NA,NA,NA,NA,NA,NA,85.6136683341607,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",25,"Paraíba",2500205,2007,2501,"Sertão Paraibano",250105,"Piancó","Aguiar",NA,NA,70.2356995770784,0,2.8,0,3.2,0,NA,NA,14.2,0,9.5,0,79.9,0,86.7,0,60,0,NA,NA,37.3015873015873,0,13.6395348837209,0,1682.07409329948,0,NA,NA
"9",25,"Paraíba",2500205,2008,2501,"Sertão Paraibano",250105,"Piancó","Aguiar",NA,NA,67.1498833451084,0,NA,NA,NA,NA,NA,NA,8.2,0,3.3,0,80.9,0,95,0,66.6666666666667,0,NA,NA,42.1455938697318,0,10.9310344827586,0,2231.75285548685,0,NA,NA
"10",25,"Paraíba",2500205,2009,2501,"Sertão Paraibano",250105,"Piancó","Aguiar",NA,NA,64.0507531008125,0,NA,NA,3.1,0,NA,NA,7,0,10.6,0,79.5,0,84.8,0,71.1111111111111,0,NA,NA,44.9820788530466,0,12.3979591836735,0,2084.92491138851,0,NA,NA
"11",25,"Paraíba",2500205,2010,2501,"Sertão Paraibano",250105,"Piancó","Aguiar",40.3955087445143,0,67.7750730977906,0,NA,NA,NA,NA,92.4939082118318,0,18,0,13.2,0,71.7,0,80.9,0,70,0,NA,NA,44.2652329749104,0,11.9239130434783,0,2530.3535718026,0,NA,NA
"12",25,"Paraíba",2500205,2011,2501,"Sertão Paraibano",250105,"Piancó","Aguiar",NA,NA,63.9887455873325,0,NA,NA,3.8,0,NA,NA,14.8,0,11.4,0,78.2,0,81.8,0,71.1111111111111,0,60,0,45.6989247311828,0,10.5212765957447,0,2973.99194752775,0,NA,NA
