"","COD_UF","NOME_UF","COD_MUNICIPIO","ANO","COD_MESO","NOME_MESO","COD_MICRO","NOME_MICRO","NOME_MUNICIPIO","INDICADOR_329","OUTLIER_INDICADOR_329","INDICADOR_62","OUTLIER_INDICADOR_62","INDICADOR_89","OUTLIER_INDICADOR_89","INDICADOR_90","OUTLIER_INDICADOR_90","INDICADOR_333","OUTLIER_INDICADOR_333","INDICADOR_73","OUTLIER_INDICADOR_73","INDICADOR_74","OUTLIER_INDICADOR_74","INDICADOR_80","OUTLIER_INDICADOR_80","INDICADOR_81","OUTLIER_INDICADOR_81","INDICADOR_176","OUTLIER_INDICADOR_176","INDICADOR_177","OUTLIER_INDICADOR_177","INDICADOR_202","OUTLIER_INDICADOR_202","INDICADOR_184","OUTLIER_INDICADOR_184","INDICADOR_7","OUTLIER_INDICADOR_7","INDICADOR_201","OUTLIER_INDICADOR_201","sum","Outliers_Pos","Outliers_Neg"
"6",25,"ParaA<U+FFFD>ba",2500106,2011,2501,"Sertao Paraibano",250107,"Serra do Teixeira","Água Branca",NA,NA,68.3589999603963,0,NA,NA,2.8,0,NA,NA,16.6,0,6.7,0,65.8,0,78.6,0,93.1818181818182,0,13.6363636363636,0,32.6388888888889,0,20.9896907216495,0,1967.69916994106,0,0.755682,0,0,NA,NA
"12",25,"ParaA<U+FFFD>ba",2500205,2011,2501,"Sertao Paraibano",250105,"Piancó","Aguiar",NA,NA,63.9887455873325,0,NA,NA,3.8,0,NA,NA,14.8,0,11.4,0,78.2,0,81.8,0,71.1111111111111,0,60,0,45.6989247311828,0,10.5212765957447,0,2973.99194752775,0,NA,NA,0,NA,NA
"18",25,"ParaA<U+FFFD>ba",2500304,2011,2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Grande",NA,NA,74.8012318148054,0,3.9,0,2.8,0,NA,NA,10.6,0,16.8,0,71.9,0,78.1,0,73.3333333333333,0,58,0,39.1414141414141,0,18.752688172043,0,2424.30300649847,0,0.622161,0,0,NA,NA
"24",25,"ParaA<U+FFFD>ba",2500403,2011,2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Nova",NA,NA,71.895902160153,0,3.9,0,3.7,0,NA,NA,8.4,0,11.5,0,77.2,0,82.8,0,85.3333333333333,0,54.6666666666667,0,40.6565656565657,0,20.1436781609195,0,2287.39047360913,0,0.667654,0,0,NA,NA
"30",25,"ParaA<U+FFFD>ba",2500502,2011,2503,"Agreste Paraibano",250316,"Guarabira","Alagoinha",NA,NA,77.7152756289284,0,3.2,0,2.3,0,NA,NA,23.9,0,15,0,67.2,0,82.9,0,85.1851851851852,0,61.1111111111111,0,36.7283950617284,0,22.3942307692308,0,2321.73171747531,0,0.621118,0,0,NA,NA
"36",25,"ParaA<U+FFFD>ba",2500536,2011,2502,"Borborema",250211,"Cariri Oriental","Alcantil",NA,NA,56.2740791708998,0,NA,NA,3.5,0,NA,NA,12.9,0,12.2,0,77.4,0,83,0,65,0,90,0,37.037037037037,0,16.6333333333333,0,3034.01804609218,0,0.535943,0,0,NA,NA
"42",25,"ParaA<U+FFFD>ba",2500577,2011,2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Algodao de Jandaíra",NA,NA,61.3450984692073,0,NA,NA,NA,NA,NA,NA,NA,NA,10.9,0,NA,NA,83.2,0,90,0,90,0,35.1851851851852,0,19.4634146341463,0,2742.34324561404,0,NA,NA,0,NA,NA
"48",25,"ParaA<U+FFFD>ba",2500601,2011,2504,"Mata Paraibana",250423,"Litoral Sul","Alhandra",NA,NA,59.1003925948953,0,3.6,0,2.7,0,NA,NA,11.7,0,13.2,0,76.8,0,82.4,0,68.3760683760684,0,82.051282051282,0,31.3888888888889,0,17.9485714285714,0,3673.71454227591,0,0.439343,0,0,NA,NA
"54",25,"ParaA<U+FFFD>ba",2500700,2011,2501,"Sertao Paraibano",250102,"Cajazeiras","Sao Joao do Rio do Peixe",NA,NA,66.4013666679679,0,3.9,0,2.7,0,NA,NA,11,0,25.9,0,78.2,0,64.7,0,44.1624365482233,0,47.7157360406091,0,39.3939393939394,0,19.3986928104575,0,2287.98149932615,0,0.626122,0,0,NA,NA
"60",25,"ParaA<U+FFFD>ba",2500734,2011,2502,"Borborema",250210,"Cariri Ocidental","Amparo",NA,NA,59.8770713830321,0,NA,NA,NA,NA,NA,NA,NA,NA,28.4,0,NA,NA,71.6,0,33.3333333333333,0,73.3333333333333,0,22.2222222222222,0,12.1951219512195,0,3353.28484,0,0.668938,0,0,NA,NA
