"","COD_UF","NOME_UF","COD_MUNICIPIO","ANO","COD_MESO","NOME_MESO","COD_MICRO","NOME_MICRO","NOME_MUNICIPIO","INDICADOR_329","OUTLIER_INDICADOR_329","INDICADOR_62","OUTLIER_INDICADOR_62","INDICADOR_89","OUTLIER_INDICADOR_89","INDICADOR_90","OUTLIER_INDICADOR_90","INDICADOR_333","OUTLIER_INDICADOR_333","INDICADOR_73","OUTLIER_INDICADOR_73","INDICADOR_74","OUTLIER_INDICADOR_74","INDICADOR_80","OUTLIER_INDICADOR_80","INDICADOR_81","OUTLIER_INDICADOR_81","INDICADOR_176","OUTLIER_INDICADOR_176","INDICADOR_177","OUTLIER_INDICADOR_177","INDICADOR_202","OUTLIER_INDICADOR_202","INDICADOR_184","OUTLIER_INDICADOR_184","INDICADOR_7","OUTLIER_INDICADOR_7","INDICADOR_201","OUTLIER_INDICADOR_201","sum","Outliers_Pos","Outliers_Neg"
"66",25,"ParaA<U+FFFD>ba",2500775,2011,2501,"Sertao Paraibano",250103,"Sousa","Aparecida",NA,NA,70.5502216630385,0,NA,NA,2.2,0,NA,NA,14.9,0,12.5,0,70.7,0,66,0,100,0,66.6666666666667,0,38.562091503268,0,13.6595744680851,0,2789.22554085603,0,0.575937,0,0,NA,NA
"72",25,"ParaA<U+FFFD>ba",2500809,2011,2503,"Agreste Paraibano",250316,"Guarabira","Araçagi",NA,NA,75.1431834632719,0,3.9,0,3,0,NA,NA,10.1,0,20.8,0,77,0,78.7,0,75.7142857142857,0,64.2857142857143,0,32.6797385620915,0,12.9956896551724,0,2825.5009367759,0,0.52656,0,0,NA,NA
"78",25,"ParaA<U+FFFD>ba",2500908,2011,2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Arara",NA,NA,72.7556649264906,0,3.4,0,2.8,0,NA,NA,16.7,0,11.5,0,72.5,0,67.9,0,72.463768115942,0,55.0724637681159,0,32.962962962963,0,20.8061224489796,0,2381.75846983816,0,0.561682,0,0,NA,NA
"84",25,"ParaA<U+FFFD>ba",2501005,2011,2503,"Agreste Paraibano",250313,"Curimataú Oriental","Araruna",NA,NA,75.0190882108481,0,4.2,0,2.8,0,NA,NA,5.2,0,23.9,0,87,0,74.3,0,56.578947368421,0,75,0,32.3361823361823,0,18.6436170212766,0,2186.36210886292,0,0.697957,0,0,NA,NA
"90",25,"ParaA<U+FFFD>ba",2501104,2011,2503,"Agreste Paraibano",250315,"Brejo Paraibano","Areia",NA,NA,72.9173876360677,0,4.2,0,3.2,0,NA,NA,6.3,0,12.4,0,81.9,0,79.1,0,66.6666666666667,0,61.2244897959184,0,36.8055555555556,0,18.1864406779661,0,2811.94540540541,0,NA,NA,0,NA,NA
"96",25,"ParaA<U+FFFD>ba",2501153,2011,2501,"Sertao Paraibano",250104,"Patos","Areia de Baraúnas",NA,NA,58.7082966980718,0,NA,NA,NA,NA,NA,NA,NA,NA,2.2,0,NA,NA,79.3,0,50,0,100,0,36.5740740740741,0,12.3714285714286,0,4339.96321016166,0,0.496496,0,0,NA,NA
"102",25,"ParaA<U+FFFD>ba",2501203,2011,2503,"Agreste Paraibano",250314,"Esperança","Areial",NA,NA,78.1695148668057,0,NA,NA,2.8,0,NA,NA,7.4,0,18,0,67.6,0,55.6,0,96.969696969697,0,60.6060606060606,0,32.6388888888889,0,20.9714285714286,0,2102.10948228883,0,0.775567,0,0,NA,NA
"108",25,"ParaA<U+FFFD>ba",2501302,2011,2503,"Agreste Paraibano",250319,"Umbuzeiro","Aroeiras",NA,NA,79.8789998175312,0,4.3,0,2.3,0,NA,NA,13.2,0,15.3,0,75,0,80.5,0,81.3333333333333,0,46.6666666666667,0,40.3030303030303,0,14.0764525993884,0,2301.71800999348,0,0.643547,0,0,NA,NA
"114",25,"ParaA<U+FFFD>ba",2501351,2011,2502,"Borborema",250210,"Cariri Ocidental","Assunçao",NA,NA,71.0283954002964,0,NA,NA,NA,NA,NA,NA,4,0,5.7,0,78.4,0,79.2,0,96.4285714285714,0,71.4285714285714,0,35.4166666666667,0,16.7169811320755,0,2787.51542889391,0,0.596791,0,0,NA,NA
"120",25,"ParaA<U+FFFD>ba",2501401,2011,2504,"Mata Paraibana",250420,"Litoral Norte","Baía da Traiçao",NA,NA,72.1984987603819,0,NA,NA,2.9,0,NA,NA,11.7,0,21.5,0,80.1,0,76.8,0,80.7692307692308,0,93.5897435897436,0,30.3418803418803,0,13.7876712328767,0,2463.82099354198,0,0.589911,0,0,NA,NA
"126",25,"ParaA<U+FFFD>ba",2501500,2011,2503,"Agreste Paraibano",250315,"Brejo Paraibano","Bananeiras",NA,NA,74.6778735711493,0,4.2,0,2.4,0,NA,NA,14.4,0,21.1,0,71.9,0,71.8,0,83.3333333333333,0,57.2916666666667,0,37.2222222222222,0,17.3032786885246,0,2388.90788065356,0,0.649379,0,0,NA,NA
"132",25,"ParaA<U+FFFD>ba",2501534,2011,2502,"Borborema",250209,"Seridó Oriental Paraibano","Baraúna",NA,NA,62.9360818730189,0,NA,NA,NA,NA,NA,NA,0,0,29.3,0,96,0,64,0,92.3076923076923,0,92.3076923076923,0,36.1111111111111,0,24.8333333333333,0,2622.04558005753,0,0.590968,0,0,NA,NA
"138",25,"ParaA<U+FFFD>ba",2501575,2011,2502,"Borborema",250211,"Cariri Oriental","Barra de Santana",NA,NA,66.2769126802823,0,NA,NA,2.7,0,NA,NA,4.7,0,7.9,0,84.3,0,84.1,0,83.8709677419355,0,87.0967741935484,0,40.9090909090909,0,14.5371900826446,0,2704.35449118818,0,0.566372,0,0,NA,NA
"144",25,"ParaA<U+FFFD>ba",2501609,2011,2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Barra de Santa Rosa",NA,NA,75.6398141697843,0,4.2,0,3,0,NA,NA,3.1,0,22,0,80.6,0,63.2,0,92.8571428571429,0,61.9047619047619,0,34.8888888888889,0,19.7272727272727,0,2947.18040396882,0,0.523816,0,0,NA,NA
"150",25,"ParaA<U+FFFD>ba",2501708,2011,2502,"Borborema",250211,"Cariri Oriental","Barra de Sao Miguel",NA,NA,62.5125084419703,0,NA,NA,NA,NA,NA,NA,0,0,12.3,0,95,0,83.8,0,40,0,80,0,32.5396825396825,0,13.6907216494845,0,2414.66676957831,0,0.583527,0,0,NA,NA
"156",25,"ParaA<U+FFFD>ba",2501807,2011,2504,"Mata Paraibana",250422,"Joao Pessoa","Bayeux",NA,NA,87.8011972579265,0,3.5,0,2.8,0,NA,NA,14.5,0,36.7,0,72.6,0,56.9,0,73.0434782608696,0,63.1884057971014,0,22.6984126984127,0,14.4656796769852,0,2276.37687796264,0,0.730484,0,0,NA,NA
"162",25,"ParaA<U+FFFD>ba",2501906,2011,2503,"Agreste Paraibano",250316,"Guarabira","Belém",NA,NA,75.1071480870376,0,4.3,0,2.8,0,NA,NA,8.7,0,12.7,0,83.3,0,84.8,0,51.3157894736842,0,85.5263157894737,0,32.7777777777778,0,13.5828571428571,0,2779.77261874738,0,0.570606,0,0,NA,NA
"168",25,"ParaA<U+FFFD>ba",2502003,2011,2501,"Sertao Paraibano",250101,"Catolé do Rocha","Belém do Brejo do Cruz",NA,NA,67.1734956802832,0,3.9,0,3.9,0,NA,NA,4.4,0,15.1,0,91.2,0,81.3,0,82.5,0,50,0,35.8585858585859,0,17.258064516129,0,2697.45581308411,0,0.544549,0,0,NA,NA
"174",25,"ParaA<U+FFFD>ba",2502052,2011,2501,"Sertao Paraibano",250102,"Cajazeiras","Bernardino Batista",NA,NA,50.3147759913855,0,NA,NA,NA,NA,NA,NA,NA,NA,12.2,0,NA,NA,87.8,0,69.2307692307692,0,38.4615384615385,0,42.0634920634921,0,15.3333333333333,0,2423.85549331104,0,0.584877,0,0,NA,NA
"180",25,"ParaA<U+FFFD>ba",2502102,2011,2501,"Sertao Paraibano",250106,"Itaporanga","Boa Ventura",NA,NA,67.2065572981104,0,4.2,0,2.6,0,NA,NA,12.4,0,27.7,0,77.8,0,67.7,0,85.1851851851852,0,44.4444444444444,0,38.562091503268,0,10.3866666666667,0,3227.47806161746,0,0.497945,0,0,NA,NA
"186",25,"ParaA<U+FFFD>ba",2502151,2011,2503,"Agreste Paraibano",250317,"Campina Grande","Boa Vista",NA,NA,64.084305118803,0,6.4,1,NA,NA,NA,NA,0,0,15.9,0,97.6,0,66.5,0,91.6666666666667,0,83.3333333333333,0,32.1428571428571,0,17.536231884058,0,3530.78420661157,0,0.467454,0,1,NA,NA
"192",25,"ParaA<U+FFFD>ba",2502201,2011,2501,"Sertao Paraibano",250102,"Cajazeiras","Bom Jesus",NA,NA,68.4031108790723,0,NA,NA,NA,NA,NA,NA,0,0,13.1,0,96.2,0,65.8,0,81.8181818181818,0,54.5454545454545,0,38.0952380952381,0,28.7777777777778,1,2934.70097812098,0,0.589127,0,1,NA,NA
"198",25,"ParaA<U+FFFD>ba",2502300,2011,2501,"Sertao Paraibano",250101,"Catolé do Rocha","Bom Sucesso",NA,NA,68.8788433503172,0,4.1,0,3,0,NA,NA,7.3,0,15.3,0,83.5,0,80.8,0,61.5384615384615,0,51.2820512820513,0,31.1111111111111,0,11.6086956521739,0,4093.81498127341,0,0.532253,0,0,NA,NA
"204",25,"ParaA<U+FFFD>ba",2502409,2011,2501,"Sertao Paraibano",250102,"Cajazeiras","Bonito de Santa Fé",NA,NA,72.4061974658877,0,3.2,0,3.2,0,NA,NA,10.9,0,18.8,0,73.2,0,69.5,0,85.7142857142857,0,73.8095238095238,0,41.1522633744856,0,13,0,2843.50349837134,0,0.455565,0,0,NA,NA
"210",25,"ParaA<U+FFFD>ba",2502508,2011,2502,"Borborema",250211,"Cariri Oriental","Boqueirao",NA,NA,70.9335220481248,0,4.1,0,2.2,0,NA,NA,17.6,0,19.6,0,69.8,0,74,0,82.9545454545455,0,71.5909090909091,0,41.6666666666667,0,13.6504854368932,0,2448.61656116643,0,0.635399,0,0,NA,NA
"216",25,"ParaA<U+FFFD>ba",2502607,2011,2501,"Sertao Paraibano",250105,"Piancó","Igaracy",NA,NA,75.8236887846851,0,3.7,0,2,0,NA,NA,18.8,0,16,0,67.5,0,70.8,0,79.4871794871795,0,43.5897435897436,0,49.4708994708995,0,13.5316455696203,0,3003.92966323667,0,0.495452,0,0,NA,NA
"222",25,"ParaA<U+FFFD>ba",2502706,2011,2503,"Agreste Paraibano",250315,"Brejo Paraibano","Borborema",NA,NA,74.4282069718056,0,3.4,0,1.9,0,NA,NA,11.3,0,15.3,0,74.9,0,74.5,0,68.9655172413793,0,68.9655172413793,0,33.3333333333333,0,20.1,0,2585.96271825397,0,0.559856,0,0,NA,NA
"228",25,"ParaA<U+FFFD>ba",2502805,2011,2501,"Sertao Paraibano",250101,"Catolé do Rocha","Brejo do Cruz",NA,NA,62.0078737886524,0,3.7,0,2.2,0,NA,NA,22.8,0,17.6,0,64.4,0,74.2,0,92.5,0,25,0,38.562091503268,0,17.2241379310345,0,2473.8685985986,0,0.61891,0,0,NA,NA
"234",25,"ParaA<U+FFFD>ba",2502904,2011,2501,"Sertao Paraibano",250101,"Catolé do Rocha","Brejo dos Santos",NA,NA,70.4649955384078,0,3.6,0,2.7,0,NA,NA,9.1,0,9.7,0,81.5,0,89.8,0,60.9756097560976,0,56.0975609756098,0,33.9506172839506,0,14.4193548387097,0,2757.7827852349,0,0.607258,0,0,NA,NA
"240",25,"ParaA<U+FFFD>ba",2503001,2011,2504,"Mata Paraibana",250423,"Litoral Sul","Caapora",NA,NA,76.7526139456401,0,3.6,0,NA,NA,NA,NA,0.8,0,13.7,0,82,0,80.9,0,80,0,58,0,27.5132275132275,0,19.1666666666667,0,2445.52822745704,0,0.643929,0,0,NA,NA
"246",25,"ParaA<U+FFFD>ba",2503100,2011,2502,"Borborema",250211,"Cariri Oriental","Cabaceiras",NA,NA,54.9016706853538,0,NA,NA,NA,NA,NA,NA,7.5,0,6.5,0,86.8,0,91.1,0,89.2857142857143,0,82.1428571428571,0,21.1111111111111,0,16.5087719298246,0,2598.06968627451,0,0.634227,0,0,NA,NA
"252",25,"ParaA<U+FFFD>ba",2503209,2011,2504,"Mata Paraibana",250422,"Joao Pessoa","Cabedelo",NA,NA,77.6001295529122,0,3.5,0,2.7,0,NA,NA,13.9,0,25.6,0,74.3,0,57.1,0,67.741935483871,0,55.7603686635945,0,24.6666666666667,0,15.0526315789474,0,2990.36212125286,0,0.569254,0,0,NA,NA
"258",25,"ParaA<U+FFFD>ba",2503308,2011,2501,"Sertao Paraibano",250102,"Cajazeiras","Cachoeira dos Índios",NA,NA,66.9396103068609,0,3.9,0,2.2,0,NA,NA,14.9,0,31.6,0,59.7,0,47.2,-1,54.8387096774194,0,54.8387096774194,0,36.5079365079365,0,17.6847826086957,0,2656.76819299324,0,0.53677,0,1,"NA","INDICADOR_176"
"264",25,"ParaA<U+FFFD>ba",2503407,2011,2501,"Sertao Paraibano",250104,"Patos","Cacimba de Areia",NA,NA,70.1786373501606,0,NA,NA,NA,NA,NA,NA,3.5,0,11.1,0,93,0,77.8,0,61.5384615384615,0,53.8461538461538,0,37.5,0,12.7647058823529,0,2392.0180030722,0,0.710442,0,0,NA,NA
"270",25,"ParaA<U+FFFD>ba",2503506,2011,2503,"Agreste Paraibano",250313,"Curimataú Oriental","Cacimba de Dentro",NA,NA,69.6009363643727,0,3.7,0,2.5,0,NA,NA,7.9,0,19.1,0,77.3,0,75,0,90.1234567901235,0,79.0123456790124,0,37.8378378378378,0,19.4640883977901,0,2240.63640749149,0,0.676874,0,0,NA,NA
"276",25,"ParaA<U+FFFD>ba",2503555,2011,2501,"Sertao Paraibano",250107,"Serra do Teixeira","Cacimbas",NA,NA,70.9177994982234,0,NA,NA,2.5,0,NA,NA,14.5,0,14.7,0,72.2,0,83.1,0,100,0,87.5,0,37.1794871794872,0,19.7663551401869,0,2310.24829787234,0,0.595462,0,0,NA,NA
"282",25,"ParaA<U+FFFD>ba",2503605,2011,2503,"Agreste Paraibano",250316,"Guarabira","Caiçara",NA,NA,66.722891706863,0,3.6,0,2.8,0,NA,NA,9.7,0,11.2,0,72,0,85.5,0,74.2857142857143,0,60,0,29.6296296296296,0,18.3684210526316,0,2245.10791523482,0,0.624791,0,0,NA,NA
"288",25,"ParaA<U+FFFD>ba",2503704,2011,2501,"Sertao Paraibano",250102,"Cajazeiras","Cajazeiras",NA,NA,68.0573207933599,0,4.3,0,2.7,0,NA,NA,12.6,0,27.4,0,72.1,0,67.5,0,77.0392749244713,0,39.2749244712991,0,32.996632996633,0,17.7158469945355,0,2697.03281418659,0,0.605218,0,0,NA,NA
"294",25,"ParaA<U+FFFD>ba",2503753,2011,2501,"Sertao Paraibano",250103,"Sousa","Cajazeirinhas",NA,NA,65.1261891737841,0,NA,NA,NA,NA,NA,NA,NA,NA,18.9,0,NA,NA,77,0,95,0,70,0,36.1111111111111,0,14.0892857142857,0,3692.72534854246,0,0.496607,0,0,NA,NA
"300",25,"ParaA<U+FFFD>ba",2503803,2011,2503,"Agreste Paraibano",250318,"Itabaiana","Caldas Brandao",NA,NA,77.3215671138071,0,NA,NA,3.1,0,NA,NA,4.6,0,10.1,0,89.8,0,86.3,0,83.8709677419355,0,74.1935483870968,0,34.7222222222222,0,14.3030303030303,0,2772.38795550848,0,0.517415,0,0,NA,NA
"306",25,"ParaA<U+FFFD>ba",2503902,2011,2502,"Borborema",250210,"Cariri Ocidental","Camalaú",NA,NA,70.0851369034001,0,NA,NA,3,0,NA,NA,19.6,0,17.5,0,62,0,81.7,0,80.6451612903226,0,54.8387096774194,0,37.4074074074074,0,20.7234042553191,0,2784.28942505133,0,0.60669,0,0,NA,NA
"312",25,"ParaA<U+FFFD>ba",2504009,2011,2503,"Agreste Paraibano",250317,"Campina Grande","Campina Grande",NA,NA,81.2439481894709,0,4.4,0,2.9,0,NA,NA,12.8,0,20.6,0,68.7,0,67.7,0,82.5866050808314,0,57.5057736720554,0,26.9463340891912,0,18.5960655737705,0,2888.65184526958,0,0.872263,0,0,NA,NA
"318",25,"ParaA<U+FFFD>ba",2504033,2011,2504,"Mata Paraibana",250420,"Litoral Norte","Capim",NA,NA,69.0884577000524,0,3.9,0,NA,NA,NA,NA,0.5,0,NA,NA,87.2,0,NA,NA,37.5,0,100,0,25.5555555555556,0,22.5131578947368,0,1990.57074225599,0,0.60136,0,0,NA,NA
"324",25,"ParaA<U+FFFD>ba",2504074,2011,2502,"Borborema",250211,"Cariri Oriental","Caraúbas",NA,NA,67.5423979876899,0,NA,NA,2.5,0,NA,NA,23.9,0,15.8,0,62.4,0,69.1,0,86.3636363636364,0,68.1818181818182,0,37.6068376068376,0,16.6458333333333,0,3134.29774718398,0,0.582129,0,0,NA,NA
"330",25,"ParaA<U+FFFD>ba",2504108,2011,2501,"Sertao Paraibano",250102,"Cajazeiras","Carrapateira",NA,NA,74.5795860917401,0,NA,NA,NA,NA,NA,NA,9.4,0,11.6,0,85.5,0,87.7,0,50,0,59.0909090909091,0,33.3333333333333,0,12.9736842105263,0,3716.50657200811,0,0.632945,0,0,NA,NA
"336",25,"ParaA<U+FFFD>ba",2504157,2011,2503,"Agreste Paraibano",250313,"Curimataú Oriental","Casserengue",NA,NA,73.3529432260333,0,NA,NA,NA,NA,NA,NA,NA,NA,26,0,NA,NA,58,0,100,0,100,0,33.3333333333333,0,20.3258426966292,0,2592.69410171365,0,0.556226,0,0,NA,NA
"342",25,"ParaA<U+FFFD>ba",2504207,2011,2501,"Sertao Paraibano",250105,"Piancó","Catingueira",NA,NA,59.0924108572496,0,NA,NA,NA,NA,NA,NA,2.4,0,5.5,0,84.2,0,93.7,0,77.7777777777778,0,62.962962962963,0,32.5396825396825,0,16.975,0,2069.84275405007,0,0.867262,0,0,NA,NA
"348",25,"ParaA<U+FFFD>ba",2504306,2011,2501,"Sertao Paraibano",250101,"Catolé do Rocha","Catolé do Rocha",NA,NA,62.4808399996935,0,5.1,0,2.7,0,NA,NA,8.5,0,20.2,0,79.6,0,76.2,0,86.8613138686131,0,39.4160583941606,0,38.034188034188,0,19.4044943820225,0,2374.3768760857,0,0.692816,0,0,NA,NA
"354",25,"ParaA<U+FFFD>ba",2504355,2011,2502,"Borborema",250211,"Cariri Oriental","Caturité",NA,NA,69.6021022227883,0,NA,NA,3.2,0,NA,NA,7.8,0,27.4,0,81.8,0,71,0,67.741935483871,0,74.1935483870968,0,31.1111111111111,0,14.9824561403509,0,3723.711264637,0,0.439967,0,0,NA,NA
"360",25,"ParaA<U+FFFD>ba",2504405,2011,2501,"Sertao Paraibano",250106,"Itaporanga","Conceiçao",NA,NA,77.0058473759689,0,3.5,0,2.3,0,NA,NA,18.4,0,30.6,0,75.9,0,65,0,56.6265060240964,0,22.289156626506,0,37.1717171717172,0,17.1287878787879,0,2750.54941228458,0,0.551791,0,0,NA,NA
"366",25,"ParaA<U+FFFD>ba",2504504,2011,2501,"Sertao Paraibano",250103,"Sousa","Condado",NA,NA,65.6783676713151,0,4.6,0,3,0,NA,NA,3.1,0,7.2,0,79.5,0,82.8,0,85.3658536585366,0,75.609756097561,0,42.5925925925926,0,13.6811594202899,0,3234.24841101695,0,0.518416,0,0,NA,NA
"372",25,"ParaA<U+FFFD>ba",2504603,2011,2504,"Mata Paraibana",250422,"Joao Pessoa","Conde",NA,NA,74.567907542052,0,3.4,0,2.2,0,NA,NA,7.2,0,21.2,0,71.8,0,64,0,88.75,0,76.25,0,28.8065843621399,0,16.1285140562249,0,3049.01011952191,0,0.538408,0,0,NA,NA
"378",25,"ParaA<U+FFFD>ba",2504702,2011,2502,"Borborema",250210,"Cariri Ocidental","Congo",NA,NA,71.2032531454939,0,NA,NA,NA,NA,NA,NA,9.3,0,13.6,0,77.7,0,80.3,0,62.8571428571429,0,62.8571428571429,0,35.8024691358025,0,15.04,0,3364.06533244681,0,0.560997,0,0,NA,NA
"384",25,"ParaA<U+FFFD>ba",2504801,2011,2501,"Sertao Paraibano",250105,"Piancó","Coremas",NA,NA,53.3338562429353,0,3.8,0,2.9,0,NA,NA,18.2,0,12.4,0,71.9,0,84.6,0,76.1904761904762,0,46.4285714285714,0,38.8888888888889,0,14.1037735849057,0,3066.99421404682,0,0.468887,0,0,NA,NA
"390",25,"ParaA<U+FFFD>ba",2504850,2011,2502,"Borborema",250210,"Cariri Ocidental","Coxixola",NA,NA,60.5850925171264,0,NA,NA,2.8,0,NA,NA,2.1,0,5.7,0,83.4,0,91.4,0,38.0952380952381,0,76.1904761904762,0,35.8024691358025,0,9.8,0,7150.80367346939,1,NA,NA,1,NA,NA
"396",25,"ParaA<U+FFFD>ba",2504900,2011,2504,"Mata Paraibana",250421,"Sapé","Cruz do Espírito Santo",NA,NA,67.1717280193335,0,3.1,0,2.4,0,NA,NA,18.7,0,14.1,0,70.6,0,78.2,0,40.9090909090909,0,60.2272727272727,0,33.3333333333333,0,20.4532374100719,0,2458.68549419627,0,0.596116,0,0,NA,NA
"402",25,"ParaA<U+FFFD>ba",2505006,2011,2502,"Borborema",250209,"Seridó Oriental Paraibano","Cubati",NA,NA,79.987062471581,0,3.4,0,NA,NA,NA,NA,5.3,0,15.7,0,64.1,0,63.2,0,61.5384615384615,0,65.3846153846154,0,33.5858585858586,0,18.9404761904762,0,2312.48923318667,0,0.622859,0,0,NA,NA
"408",25,"ParaA<U+FFFD>ba",2505105,2011,2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Cuité",NA,NA,68.6518515915461,0,5.3,0,3.7,0,NA,NA,1.2,0,17.6,0,78.1,0,61.5,0,63.0952380952381,0,63.0952380952381,0,35.5902777777778,0,19.5912408759124,0,2427.13620625466,0,0.601382,0,0,NA,NA
"414",25,"ParaA<U+FFFD>ba",2505204,2011,2503,"Agreste Paraibano",250316,"Guarabira","Cuitegi",NA,NA,77.2168589789319,0,3.3,0,2.6,0,NA,NA,20.2,0,24.2,0,74.3,0,74.2,0,86.4864864864865,0,54.054054054054,0,30.5555555555556,0,18.0172413793103,0,2573.30719617225,0,0.547196,0,0,NA,NA
"420",25,"ParaA<U+FFFD>ba",2505238,2011,2504,"Mata Paraibana",250420,"Litoral Norte","Cuité de Mamanguape",NA,NA,72.8008661481693,0,NA,NA,NA,NA,NA,NA,14.9,0,14.9,0,76.1,0,84.4,0,61.9047619047619,0,100,0,33.3333333333333,0,22.3592233009709,0,2525.0253119584,0,0.526604,0,0,NA,NA
"426",25,"ParaA<U+FFFD>ba",2505279,2011,2504,"Mata Paraibana",250420,"Litoral Norte","Curral de Cima",NA,NA,56.8681435147948,0,NA,NA,NA,NA,NA,NA,0,0,13.3,0,65.2,0,84.2,0,75,0,87.5,0,32.2222222222222,0,21.1194029850746,0,2423.17729519774,0,0.548673,0,0,NA,NA
"432",25,"ParaA<U+FFFD>ba",2505303,2011,2501,"Sertao Paraibano",250106,"Itaporanga","Curral Velho",NA,NA,60.2982808839589,0,NA,NA,NA,NA,NA,NA,1.2,0,8.6,0,94.3,0,80.6,0,64.2857142857143,0,71.4285714285714,0,35.4166666666667,0,14.3414634146341,0,3163.75404074703,0,0.611007,0,0,NA,NA
