"","ANO","NOME_MESO","NOME_MICRO","mean","indicador"
"1",2007,"Agreste Paraibano","Brejo Paraibano",71.4016177975998,"INDICADOR_62"
"2",2007,"Agreste Paraibano","Campina Grande",70.9369056766787,"INDICADOR_62"
"3",2007,"Agreste Paraibano","Curimataú Ocidental",69.7619378195757,"INDICADOR_62"
"4",2007,"Agreste Paraibano","Curimataú Oriental",70.7478569491109,"INDICADOR_62"
"5",2007,"Agreste Paraibano","Esperança",73.8100716981432,"INDICADOR_62"
"6",2007,"Agreste Paraibano","Guarabira",71.5351794890938,"INDICADOR_62"
"7",2007,"Agreste Paraibano","Itabaiana",70.8772488332609,"INDICADOR_62"
"8",2007,"Agreste Paraibano","Umbuzeiro",69.8919282871185,"INDICADOR_62"
"9",2007,"Borborema","Cariri Ocidental",64.1327868195229,"INDICADOR_62"
"10",2007,"Borborema","Cariri Oriental",63.166267868884,"INDICADOR_62"
"11",2007,"Borborema","Seridó Ocidental Paraibano",65.9237473911267,"INDICADOR_62"
"12",2007,"Borborema","Seridó Oriental Paraibano",66.4899606800515,"INDICADOR_62"
"13",2007,"Mata Paraibana","João Pessoa",71.0623710272121,"INDICADOR_62"
"14",2007,"Mata Paraibana","Litoral Norte",73.8357460879038,"INDICADOR_62"
"15",2007,"Mata Paraibana","Litoral Sul",63.6707750759753,"INDICADOR_62"
"16",2007,"Mata Paraibana","Sapé",68.7505855979512,"INDICADOR_62"
"17",2007,"Sertão Paraibano","Cajazeiras",66.1764762300519,"INDICADOR_62"
"18",2007,"Sertão Paraibano","Catolé do Rocha",68.5696022003036,"INDICADOR_62"
"19",2007,"Sertão Paraibano","Itaporanga",65.1041676716862,"INDICADOR_62"
"20",2007,"Sertão Paraibano","Patos",56.962473463186,"INDICADOR_62"
"21",2007,"Sertão Paraibano","Piancó",64.1827810693388,"INDICADOR_62"
"22",2007,"Sertão Paraibano","Serra do Teixeira",67.6720014382883,"INDICADOR_62"
"23",2007,"Sertão Paraibano","Sousa",63.4334010006549,"INDICADOR_62"
"24",2008,"Agreste Paraibano","Brejo Paraibano",71.5773353870556,"INDICADOR_62"
"25",2008,"Agreste Paraibano","Campina Grande",71.6054504492917,"INDICADOR_62"
"26",2008,"Agreste Paraibano","Curimataú Ocidental",69.6665978403251,"INDICADOR_62"
"27",2008,"Agreste Paraibano","Curimataú Oriental",67.3003092734154,"INDICADOR_62"
"28",2008,"Agreste Paraibano","Esperança",75.7233226515694,"INDICADOR_62"
"29",2008,"Agreste Paraibano","Guarabira",70.7338179214564,"INDICADOR_62"
"30",2008,"Agreste Paraibano","Itabaiana",69.2326962106893,"INDICADOR_62"
"31",2008,"Agreste Paraibano","Umbuzeiro",68.7685979382553,"INDICADOR_62"
"32",2008,"Borborema","Cariri Ocidental",60.4270254437577,"INDICADOR_62"
"33",2008,"Borborema","Cariri Oriental",57.1403477322073,"INDICADOR_62"
"34",2008,"Borborema","Seridó Ocidental Paraibano",65.4020508349554,"INDICADOR_62"
"35",2008,"Borborema","Seridó Oriental Paraibano",62.7277171993851,"INDICADOR_62"
"36",2008,"Mata Paraibana","João Pessoa",71.2757889493222,"INDICADOR_62"
"37",2008,"Mata Paraibana","Litoral Norte",70.084791168842,"INDICADOR_62"
"38",2008,"Mata Paraibana","Litoral Sul",66.5893099872849,"INDICADOR_62"
"39",2008,"Mata Paraibana","Sapé",63.280252219036,"INDICADOR_62"
"40",2008,"Sertão Paraibano","Cajazeiras",65.0871851512006,"INDICADOR_62"
"41",2008,"Sertão Paraibano","Catolé do Rocha",68.2059780279079,"INDICADOR_62"
"42",2008,"Sertão Paraibano","Itaporanga",63.553960267831,"INDICADOR_62"
"43",2008,"Sertão Paraibano","Patos",55.5369506249379,"INDICADOR_62"
"44",2008,"Sertão Paraibano","Piancó",60.0496553151437,"INDICADOR_62"
"45",2008,"Sertão Paraibano","Serra do Teixeira",64.1296563437727,"INDICADOR_62"
"46",2008,"Sertão Paraibano","Sousa",61.274285238307,"INDICADOR_62"
"47",2009,"Agreste Paraibano","Brejo Paraibano",74.9930336230558,"INDICADOR_62"
"48",2009,"Agreste Paraibano","Campina Grande",74.7993151736454,"INDICADOR_62"
"49",2009,"Agreste Paraibano","Curimataú Ocidental",70.5407047584501,"INDICADOR_62"
"50",2009,"Agreste Paraibano","Curimataú Oriental",73.4634938416601,"INDICADOR_62"
"51",2009,"Agreste Paraibano","Esperança",76.5822372444496,"INDICADOR_62"
"52",2009,"Agreste Paraibano","Guarabira",74.9144965609469,"INDICADOR_62"
"53",2009,"Agreste Paraibano","Itabaiana",70.0221863396635,"INDICADOR_62"
"54",2009,"Agreste Paraibano","Umbuzeiro",70.3162791031229,"INDICADOR_62"
"55",2009,"Borborema","Cariri Ocidental",64.955374835565,"INDICADOR_62"
