"cidade","Vizinho1","Vizinho2","Vizinho3","Vizinho4","Vizinho5","Vizinho6","Vizinho7","Vizinho8","Vizinho9","Vizinho10","V12"
"Duas Estradas",0.0227,0.0311,0.0477,0.0794,0.0939,0.1001,0.1058,0.1145,0.1323,0.137,0.0864
"Santa Cruz",0.0491,0.0575,0.0692,0.083,0.0849,0.093,0.0972,0.0993,0.1146,0.1227,0.0871
"Belém do Brejo do Cruz",0.0311,0.0417,0.0558,0.0755,0.0813,0.0932,0.1111,0.1151,0.1297,0.1434,0.0878
"Catingueira",0.035,0.06,0.0708,0.0717,0.0895,0.1002,0.1094,0.1102,0.1108,0.124,0.0881
"Malta",0.0589,0.0618,0.0671,0.068,0.0832,0.0897,0.1131,0.1135,0.1159,0.1304,0.0902
"São Domingos do Cariri",0.0489,0.0566,0.0601,0.0617,0.0623,0.0781,0.1131,0.121,0.1412,0.1619,0.0905
"São José dos Ramos",0.0409,0.0646,0.0663,0.0752,0.0924,0.101,0.1102,0.1119,0.1206,0.1286,0.0912
"Santana de Mangueira",0.0266,0.0352,0.0409,0.09,0.0969,0.1116,0.1214,0.124,0.1332,0.1376,0.0917
"Olivedos",0.0227,0.0417,0.0702,0.0949,0.1,0.1129,0.1132,0.1172,0.119,0.1286,0.092
"Livramento",0.0125,0.0755,0.0792,0.0898,0.0931,0.098,0.1001,0.1132,0.1196,0.14,0.0921
"Curral de Cima",0.0125,0.0694,0.0813,0.0886,0.0945,0.1023,0.1058,0.1172,0.1285,0.1398,0.094
"Gurjão",0.0543,0.0617,0.068,0.0781,0.089,0.0903,0.1001,0.1045,0.1348,0.1641,0.0945
"Bernardino Batista",0.0297,0.056,0.0579,0.0668,0.076,0.0911,0.1227,0.1458,0.1466,0.1555,0.0948
"Borborema",0.0352,0.0451,0.0663,0.0877,0.0919,0.1108,0.1164,0.1193,0.1343,0.1406,0.0948
"Pedro Régis",0.045,0.0668,0.0695,0.0906,0.0922,0.0935,0.1176,0.1206,0.1259,0.1288,0.0951
"Riacho dos Cavalos",0.0447,0.0597,0.0827,0.0868,0.0924,0.0944,0.1162,0.1242,0.1332,0.1356,0.097
"Emas",0.046,0.0694,0.0694,0.0708,0.0777,0.0914,0.1297,0.1339,0.1356,0.1545,0.0978
"Lastro",0.0306,0.05,0.0803,0.0873,0.0969,0.1118,0.1245,0.1331,0.1354,0.1471,0.0997
"Serra Redonda",0.0266,0.0451,0.0642,0.0646,0.075,0.129,0.1311,0.1481,0.1551,0.1584,0.0997
"Assunção",0.0464,0.0716,0.0935,0.1017,0.1041,0.1048,0.1177,0.1182,0.1203,0.1219,0.1
"Bom Sucesso",0.035,0.0619,0.0694,0.0748,0.102,0.1121,0.125,0.1343,0.1394,0.1511,0.1005
"Nova Floresta",0.056,0.0585,0.0733,0.0741,0.0831,0.0987,0.1128,0.1266,0.1607,0.1608,0.1005
"Brejo dos Santos",0.0305,0.0456,0.0803,0.0863,0.1,0.104,0.1041,0.1133,0.1701,0.1853,0.102
"Santarém",0.045,0.067,0.0798,0.0804,0.0815,0.1142,0.1187,0.1379,0.1381,0.1582,0.1021
"Vista Serrana",0.0433,0.0472,0.0849,0.1117,0.1133,0.1145,0.1151,0.1185,0.1379,0.1456,0.1032
