"COD_UF","NOME_UF","COD_MUNICIPIO","ANO","COD_MESO","NOME_MESO","COD_MICRO","NOME_MICRO","NOME_MUNICIPIO","INDICADOR_24","x","y","area"
25,"Paraíba",2505238,2011,2504,"Mata Paraibana",250420,"Litoral Norte","Cuité de Mamanguape",4244435.21,-36.3189925956528,-6.86464480342891,0.0112494526514547
25,"Paraíba",2505303,2011,2501,"Sertão Paraibano",250106,"Itaporanga","Curral Velho",1145219.61,-36.0775174230757,-6.54878148245216,0.0607348165562712
25,"Paraíba",2505279,2011,2504,"Mata Paraibana",250420,"Litoral Norte","Curral de Cima",2182229,-35.5223975422988,-6.90388941355873,0.00327442589835383
25,"Paraíba",2505352,2011,2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Damião",2528178.49,-35.2534572228672,-6.90523167481687,0.00887659199168274
25,"Paraíba",2505402,2011,2501,"Sertão Paraibano",250107,"Serra do Teixeira","Desterro",2608527.41,-35.2849663699534,-6.73358082574354,0.00698357645147459
25,"Paraíba",2505600,2011,2501,"Sertão Paraibano",250106,"Itaporanga","Diamante",2397125.02,-38.1679273643856,-7.53669286704053,0.0182917660028411
25,"Paraíba",2505709,2011,2503,"Agreste Paraibano",250313,"Curimataú Oriental","Dona Inês",3592110.99,-35.9306070568456,-6.6434296779549,0.0151714115149471
25,"Paraíba",2505808,2011,2503,"Agreste Paraibano",250316,"Guarabira","Duas Estradas",2159146.39,-37.0922331417466,-7.30014009103561,0.0146449724910227
25,"Paraíba",2505907,2011,2501,"Sertão Paraibano",250105,"Piancó","Emas",1385552.99,-37.5761352989993,-6.75586769702569,0.00512960449782003
25,"Paraíba",2506004,2011,2503,"Agreste Paraibano",250314,"Esperança","Esperança",8977681.82,-38.3157410277425,-7.42405843647127,0.022019939436
25,"Paraíba",2506103,2011,2503,"Agreste Paraibano",250317,"Campina Grande","Fagundes",4352304.68,-35.647164787896,-6.60988680668569,0.0135628611042889
25,"Paraíba",2506202,2011,2502,"Borborema",250209,"Seridó Oriental Paraibano","Frei Martinho",1009964.94,-35.3966050275236,-6.71986413226996,0.00221965408973018
25,"Paraíba",2506251,2011,2503,"Agreste Paraibano",250319,"Umbuzeiro","Gado Bravo",3824796.1,-37.7422128705873,-7.08868429814223,0.0197347423175768
25,"Paraíba",2506301,2011,2503,"Agreste Paraibano",250316,"Guarabira","Guarabira",11871001.54,-35.8898413666409,-7.00015479784632,0.0135709784701179
25,"Paraíba",2506400,2011,2503,"Agreste Paraibano",250318,"Itabaiana","Gurinhém",5409374.21,-35.7800672569346,-7.39104553763672,0.015423963628002
25,"Paraíba",2506509,2011,2502,"Borborema",250211,"Cariri Oriental","Gurjão",1177448.9,-36.4488624648171,-6.41520407616947,0.0199174115921945
25,"Paraíba",2506608,2011,2501,"Sertão Paraibano",250106,"Itaporanga","Ibiara",1181126,-35.81289786099,-7.58970004209793,0.0157527920237879
25,"Paraíba",2502607,2011,2501,"Sertão Paraibano",250105,"Piancó","Igaracy",2519837.89,-35.4495361800351,-6.87781679820555,0.0135803652312868
25,"Paraíba",2506707,2011,2501,"Sertão Paraibano",250107,"Serra do Teixeira","Imaculada",4164598.37,-35.4325110231741,-7.14164482640452,0.0253382044788905
25,"Paraíba",2506806,2011,2503,"Agreste Paraibano",250318,"Itabaiana","Ingá",5972282.62,-36.4621574463754,-7.26165973479165,0.0280062906897391
25,"Paraíba",2506905,2011,2503,"Agreste Paraibano",250318,"Itabaiana","Itabaiana",1827737.43,-38.4042924589293,-7.49298962016413,0.0200658814279722
25,"Paraíba",2507002,2011,2501,"Sertão Paraibano",250106,"Itaporanga","Itaporanga",3602777.33,-37.5616955391006,-7.37220554585352,0.0259790176329245
25,"Paraíba",2507101,2011,2504,"Mata Paraibana",250420,"Litoral Norte","Itapororoca",6156229.25,-35.6157083972848,-7.27657812970232,0.0235826653519413
25,"Paraíba",2507200,2011,2503,"Agreste Paraibano",250318,"Itabaiana","Itatuba",3220516.17,-35.3551187861846,-7.34833996669014,0.0179486629859939
25,"Paraíba",2507309,2011,2504,"Mata Paraibana",250420,"Litoral Norte","Jacaraú",5874962.83,-38.1894862184335,-7.28441722966325,0.0382836420944397
25,"Paraíba",2507408,2011,2501,"Sertão Paraibano",250101,"Catolé do Rocha","Jericó",2557902.36,-35.2587364755565,-6.80941940635844,0.0119980481709989
25,"Paraíba",2507507,2011,2504,"Mata Paraibana",250422,"João Pessoa","João Pessoa",153159942.39,-35.6474973788618,-7.40625627738974,0.0200095657683291
25,"Paraíba",2507606,2011,2503,"Agreste Paraibano",250318,"Itabaiana","Juarez Távora",2759658.08,-35.2700416554504,-6.59544829814584,0.020724543992439
25,"Paraíba",2507705,2011,2502,"Borborema",250209,"Seridó Oriental Paraibano","Juazeirinho",5214943.66,-37.8186284849729,-6.50925564007101,0.0146852877695316
