"cidade","distancia.media"
"Santa Helena",0.0268679987788405
"Aguiar",0.0269281690833054
"Santarém",0.0270025555925284
"Logradouro",0.0275588965380977
"Juru",0.0277083495297991
"Matinhas",0.0277938512762485
"Cuité de Mamanguape",0.0278987905138671
"Sumé",0.0303751692001884
"Água Branca",0.0305648472485966
"Uiraúna",0.0305960128446353
"Lagoa",0.0306741307625598
"Serra Redonda",0.0307698011125258
"Itaporanga",0.0312757007057749
"Itatuba",0.0315081510885852
"Serraria",0.0317291015782162
"Bonito de Santa Fé",0.0324528145092099
"Mari",0.0330069275943586
"São Mamede",0.0332205669709766
"Areial",0.0335994890157937
"São José de Piranhas",0.0341656623020462
"Cuité",0.0341909022854408
"Taperoá",0.0342739621518025
"Lastro",0.0348221730624729
"Puxinanã",0.0349106193134139
"Barra de Santa Rosa",0.035332493549962
"Ibiara",0.0360801596083721
"Nova Palmeira",0.0363218444189374
"Coremas",0.0365949581194567
"Salgadinho",0.0367602030900876
"Brejo do Cruz",0.0368118965294636
"Remígio",0.0371900260884074
"Cachoeira dos Índios",0.0373204445821448
"Mataraca",0.0373216996300133
"Juazeirinho",0.0381740329978068
"Pedro Régis",0.0388311394036864
"Desterro",0.0389857407780924
"Tavares",0.0398874211956053
"Pilões",0.0406372448338511
"Arara",0.0408156187743104
"Santa Cecília",0.0408250335754719
"Araruna",0.0409451743187091
"Jericó",0.0410097211234677
"Pedra Branca",0.0410837349669429
"São José da Lagoa Tapada",0.0414902957105986
"Alagoinha",0.0416435635262156
"Olivedos",0.0420447827692216
"São João do Rio do Peixe",0.0424110545793862
"Montadas",0.0426328498938389
"Itapororoca",0.0430200870961715
"Picuí",0.0431311482132831
"São João do Cariri",0.0431324101373897
"Riachão",0.0432099967144816
"Olho d'Água",0.043618876394969
"Teixeira",0.0439752529260672
"Pombal",0.0440452399365994
"Caiçara",0.0440567916942768
"Marizópolis",0.0442208047560342
"Pitimbu",0.0444304395312043
"Junco do Seridó",0.0446778301055804
"Araçagi",0.0448229637353268
"Natuba",0.0453109268627779
"Cacimba de Dentro",0.046046482438272
"Imaculada",0.0461135282633783
"Mulungu",0.0464454227726725
"Mãe d'Água",0.0466214944059416
"Gado Bravo",0.0469078652749951
"Poço Dantas",0.0471317130778628
"Serra Branca",0.047932206604267
"Cajazeirinhas",0.0493888105490828
"Dona Inês",0.0494707624320099
"Pocinhos",0.0499030112174399
"Alagoa Nova",0.0505734150446108
"Itabaiana",0.0510611842402155
"Conde",0.051319483090309
"Lagoa Seca",0.0525020169678814
"Quixabá",0.0537421504582673
"Rio Tinto",0.0538243707728105
"Belém",0.0547796210503768
"Soledade",0.0554565121391047
"Tacima",0.0564863672061471
"Condado",0.0581328906648529
"Bananeiras",0.058485686668475
"Marcação",0.0612353544241203
"Cruz do Espírito Santo",0.0624827160105931
"Congo",0.062677861743802
"Duas Estradas",0.0632557967220212
"São Bento",0.0637292464663196
"Alhandra",0.064958264337828
"Caaporã",0.067923925862558
"Monteiro",0.0713846551805363
"Fagundes",0.0727743590787185
"Umbuzeiro",0.0729232110732613
"São José dos Cordeiros",0.073740344646202
"Boqueirão",0.0737725676430148
"Ingá",0.0743260584658633
"Várzea",0.0748598729348199
"São Sebastião de Lagoa de Roça",0.0759647476460882
"Mamanguape",0.0782717680860016
"Nazarezinho",0.0797354670882188
"Areia",0.0803467217859758
"Esperança",0.0847086103443256
"Alagoa Grande",0.0859253109175878
"Boa Ventura",0.0926292016340688
"Catolé do Rocha",0.09327299466319
"Solânea",0.0936168359093052
"Queimadas",0.0947197877776722
"Jacaraú",0.0967210970479366
"Patos",0.124537784487056
"Gurinhém",0.126516134199986
"Conceição",0.130663668257745
"Santa Luzia",0.132210776721297
"Pedras de Fogo",0.14176421668689
"São José de Espinharas",0.145726065026765
"Pilar",0.150559436061365
"Manaíra",0.152268002092988
"Guarabira",0.161256324154336
"Seridó",0.165834284602366
"Cajazeiras",0.166416298708228
"Prata",0.187325474670098
"Bayeux",0.211647712231549
"Santa Teresinha",0.237825040470025
"Sousa",0.238236104135144
"Paulista",0.27620711028379
"Santa Rita",0.296711987178301
"Juarez Távora",0.359254471682193
"Cabedelo",0.376061890932065
"Campina Grande",0.70142261283655
"João Pessoa",1.05846765044831
