"cidade","distancia.media"
"Emas",0.010337556418109
"São Domingos",0.0104950255503423
"Caraúbas",0.0106266647118166
"Assunção",0.0107839507466744
"Curral Velho",0.010822055606738
"Santa Inês",0.010976267217031
"Cabaceiras",0.0113465111253655
"Ouro Velho",0.0118437761463364
"Zabelê",0.0118443751887603
"São Bentinho",0.0120011085574047
"Brejo dos Santos",0.0121910643520774
"Camalaú",0.012207365673725
"Cacimba de Areia",0.0122506011516264
"Areia de Baraúnas",0.0122626352700434
"Nova Olinda",0.0125159640364408
"Igaracy",0.0126669109231061
"Algodão de Jandaíra",0.0127704935139667
"São Francisco",0.0130151582281319
"São José do Sabugi",0.0130184615563786
"Santana dos Garrotes",0.0130202824065355
"São João do Tigre",0.0130271233334514
"Tenório",0.0130479245603426
"São José dos Ramos",0.0132146379700599
"Vista Serrana",0.0132236720735552
"Bernardino Batista",0.0133085863530066
"Serra Grande",0.0133457506367589
"Borborema",0.0134471605131334
"Carrapateira",0.0135193291851268
"Boa Vista",0.0135435733715044
"Gurjão",0.0135466761070012
"Riacho dos Cavalos",0.0136826792184574
"Pirpirituba",0.0137756255303319
"Sertãozinho",0.0138477793843901
"Frei Martinho",0.0138661846957894
"Riacho de Santo Antônio",0.0139601622068328
"Cuitegi",0.014111615746686
"São José do Bonfim",0.0147474793462822
"Bom Sucesso",0.0148591728254225
"Bom Jesus",0.0149853259929193
"Barra de São Miguel",0.0150447452037739
"Parari",0.0151819106585651
"Caldas Brandão",0.015222983654917
"Riachão do Poço",0.0153837565388529
"Amparo",0.0154842565227107
"Aparecida",0.0158486225570228
"São José de Caiana",0.0158659556113429
"Damião",0.0158839221566335
"Serra da Raiz",0.0159661437265604
"Livramento",0.0159673088752569
"São Domingos do Cariri",0.0160811198037406
"Catingueira",0.0162093560021245
"Malta",0.0165355321656191
"Cubati",0.0165469619032537
"Santo André",0.0169443685502312
"Coxixola",0.0171049351324853
"Capim",0.0173382880523198
"Diamante",0.017521510984541
"Mato Grosso",0.0175292654953867
"Maturéia",0.0175760420924501
"Curral de Cima",0.0176448684816981
"Sossêgo",0.0176709742602023
"Pilõezinhos",0.0177993535107615
"Cacimbas",0.0181747977917108
"Juripiranga",0.0182604077283507
"Pedra Lavrada",0.0188764085908541
"Vieirópolis",0.0195942649396736
"Alcantil",0.019687285594634
"Poço de José de Moura",0.0199685648546745
"Lagoa de Dentro",0.0200530553810697
"Riachão do Bacamarte",0.0202976417230254
"São José de Princesa",0.0205632992667735
"Monte Horebe",0.0206858491484524
"São José do Brejo do Cruz",0.0207082712423853
"Passagem",0.020825899366588
"Baraúna",0.0210594639720437
"Salgado de São Félix",0.0211747626029635
"Lucena",0.0211941930020762
"Baía da Traição",0.0217203340126727
"Santa Cruz",0.0222192587578663
"Barra de Santana",0.0224372853131543
"Sobrado",0.0224856265644727
"Princesa Isabel",0.0231133727523991
"São Sebastião do Umbuzeiro",0.0242050638044838
"Santana de Mangueira",0.0246630354349123
"Caturité",0.0246658501686054
"Massaranduba",0.0250291979964545
"São Miguel de Taipu",0.0256058700472674
"Casserengue",0.0261134609932348
"Belém do Brejo do Cruz",0.0262859265594625
"Mogeiro",0.0266151064126211
"Piancó",0.0267287928180663
