"ANO","NOME_MUNICIPIO","NOME_MESO","NOME_MICRO","MEDIA_ESTADO","MEDIA_MICRO","indicador"
2010,"Congo","Borborema","Cariri Ocidental",31.310691566927,29.5918192463009,"INDICADOR_329"
2010,"Coremas","Sertão Paraibano","Piancó",31.310691566927,34.5842147612037,"INDICADOR_329"
2010,"Coxixola","Borborema","Cariri Ocidental",31.310691566927,24.3381045586605,"INDICADOR_329"
2010,"Cruz do Espírito Santo","Mata Paraibana","Sapé",31.310691566927,34.6654931311522,"INDICADOR_329"
2010,"Cubati","Borborema","Seridó Oriental Paraibano",31.310691566927,29.0321980400783,"INDICADOR_329"
2010,"Cuité","Agreste Paraibano","Curimataú Ocidental",31.310691566927,32.8004643329248,"INDICADOR_329"
2010,"Cuité de Mamanguape","Mata Paraibana","Litoral Norte",31.310691566927,43.1848102711475,"INDICADOR_329"
2010,"Cuitegi","Agreste Paraibano","Guarabira",31.310691566927,36.5931576541382,"INDICADOR_329"
2010,"Curral de Cima","Mata Paraibana","Litoral Norte",31.310691566927,44.1664966087431,"INDICADOR_329"
2010,"Curral Velho","Sertão Paraibano","Itaporanga",31.310691566927,37.5909836151212,"INDICADOR_329"
2010,"Damião","Agreste Paraibano","Curimataú Ocidental",31.310691566927,43.1148841957168,"INDICADOR_329"
2010,"Desterro","Sertão Paraibano","Serra do Teixeira",31.310691566927,26.5524641298656,"INDICADOR_329"
2010,"Diamante","Sertão Paraibano","Itaporanga",31.310691566927,32.0324688576755,"INDICADOR_329"
2010,"Dona Inês","Agreste Paraibano","Curimataú Oriental",31.310691566927,41.9443889335766,"INDICADOR_329"
2010,"Duas Estradas","Agreste Paraibano","Guarabira",31.310691566927,33.3643947771387,"INDICADOR_329"
2010,"Emas","Sertão Paraibano","Piancó",31.310691566927,31.7887100986121,"INDICADOR_329"
2010,"Esperança","Agreste Paraibano","Esperança",31.310691566927,26.0724229683721,"INDICADOR_329"
2010,"Fagundes","Agreste Paraibano","Campina Grande",31.310691566927,33.4488800887994,"INDICADOR_329"
2010,"Frei Martinho","Borborema","Seridó Oriental Paraibano",31.310691566927,29.4921791210334,"INDICADOR_329"
2010,"Gado Bravo","Agreste Paraibano","Umbuzeiro",31.310691566927,34.6164120556749,"INDICADOR_329"
2010,"Guarabira","Agreste Paraibano","Guarabira",31.310691566927,19.9113588518478,"INDICADOR_329"
2010,"Gurinhém","Agreste Paraibano","Itabaiana",31.310691566927,39.2244371374307,"INDICADOR_329"
2010,"Gurjão","Borborema","Cariri Oriental",31.310691566927,22.1186691671153,"INDICADOR_329"
2010,"Ibiara","Sertão Paraibano","Itaporanga",31.310691566927,40.9948804949443,"INDICADOR_329"
2010,"Igaracy","Sertão Paraibano","Piancó",31.310691566927,34.6533322778897,"INDICADOR_329"
2010,"Imaculada","Sertão Paraibano","Serra do Teixeira",31.310691566927,31.1234521967881,"INDICADOR_329"
2010,"Ingá","Agreste Paraibano","Itabaiana",31.310691566927,37.5548621287525,"INDICADOR_329"
2010,"Itabaiana","Agreste Paraibano","Itabaiana",31.310691566927,28.4598364730586,"INDICADOR_329"
2010,"Itaporanga","Sertão Paraibano","Itaporanga",31.310691566927,24.9366941365175,"INDICADOR_329"
2010,"Itapororoca","Mata Paraibana","Litoral Norte",31.310691566927,35.0177472013099,"INDICADOR_329"
2010,"Itatuba","Agreste Paraibano","Itabaiana",31.310691566927,38.8025977195462,"INDICADOR_329"
2010,"Jacaraú","Mata Paraibana","Litoral Norte",31.310691566927,35.6982021168841,"INDICADOR_329"
2010,"Jericó","Sertão Paraibano","Catolé do Rocha",31.310691566927,30.2497534482318,"INDICADOR_329"
2010,"João Pessoa","Mata Paraibana","João Pessoa",31.310691566927,8.17019506475927,"INDICADOR_329"
2010,"Juarez Távora","Agreste Paraibano","Itabaiana",31.310691566927,40.3070021715008,"INDICADOR_329"
2010,"Juazeirinho","Borborema","Seridó Oriental Paraibano",31.310691566927,27.3398218544417,"INDICADOR_329"
2010,"Junco do Seridó","Borborema","Seridó Ocidental Paraibano",31.310691566927,22.2988022400365,"INDICADOR_329"
2010,"Juripiranga","Mata Paraibana","Sapé",31.310691566927,37.1287517372896,"INDICADOR_329"
2010,"Juru","Sertão Paraibano","Serra do Teixeira",31.310691566927,36.8541549105579,"INDICADOR_329"
2010,"Lagoa","Sertão Paraibano","Catolé do Rocha",31.310691566927,36.7324432092925,"INDICADOR_329"
2010,"Lagoa de Dentro","Agreste Paraibano","Guarabira",31.310691566927,35.3026494524331,"INDICADOR_329"
2010,"Lagoa Seca","Agreste Paraibano","Campina Grande",31.310691566927,22.6074915242007,"INDICADOR_329"
2010,"Lastro","Sertão Paraibano","Sousa",31.310691566927,34.3041768562873,"INDICADOR_329"
2010,"Livramento","Borborema","Cariri Ocidental",31.310691566927,23.5448039560631,"INDICADOR_329"
2010,"Logradouro","Agreste Paraibano","Guarabira",31.310691566927,33.8931715904667,"INDICADOR_329"
2010,"Lucena","Mata Paraibana","João Pessoa",31.310691566927,28.2954001157615,"INDICADOR_329"
2010,"Mãe d'Água","Sertão Paraibano","Patos",31.310691566927,33.8721411729552,"INDICADOR_329"
2010,"Malta","Sertão Paraibano","Sousa",31.310691566927,29.1095350790725,"INDICADOR_329"
2010,"Mamanguape","Mata Paraibana","Litoral Norte",31.310691566927,31.3545419775761,"INDICADOR_329"
2010,"Manaíra","Sertão Paraibano","Serra do Teixeira",31.310691566927,36.2616320032279,"INDICADOR_329"
2010,"Marcação","Mata Paraibana","Litoral Norte",31.310691566927,35.4063466517779,"INDICADOR_329"
2010,"Mari","Mata Paraibana","Sapé",31.310691566927,37.1252314775548,"INDICADOR_329"
2010,"Marizópolis","Sertão Paraibano","Sousa",31.310691566927,29.015858174483,"INDICADOR_329"
2010,"Massaranduba","Agreste Paraibano","Campina Grande",31.310691566927,31.5442089009709,"INDICADOR_329"
2010,"Mataraca","Mata Paraibana","Litoral Norte",31.310691566927,29.8577330564116,"INDICADOR_329"
2010,"Matinhas","Agreste Paraibano","Brejo Paraibano",31.310691566927,35.5593236811957,"INDICADOR_329"
2010,"Mato Grosso","Sertão Paraibano","Catolé do Rocha",31.310691566927,41.9550295316588,"INDICADOR_329"
2010,"Maturéia","Sertão Paraibano","Serra do Teixeira",31.310691566927,31.0516799082767,"INDICADOR_329"
2010,"Mogeiro","Agreste Paraibano","Itabaiana",31.310691566927,34.9802849137645,"INDICADOR_329"
2010,"Montadas","Agreste Paraibano","Esperança",31.310691566927,27.0514493684909,"INDICADOR_329"
2010,"Monte Horebe","Sertão Paraibano","Cajazeiras",31.310691566927,30.2424670195104,"INDICADOR_329"
2010,"Monteiro","Borborema","Cariri Ocidental",31.310691566927,27.8838133345262,"INDICADOR_329"
2010,"Mulungu","Agreste Paraibano","Guarabira",31.310691566927,36.5693369286497,"INDICADOR_329"
2010,"Natuba","Agreste Paraibano","Umbuzeiro",31.310691566927,40.9114012389594,"INDICADOR_329"
2010,"Nazarezinho","Sertão Paraibano","Sousa",31.310691566927,33.9738268915589,"INDICADOR_329"
2010,"Nova Floresta","Agreste Paraibano","Curimataú Ocidental",31.310691566927,31.41397986773,"INDICADOR_329"
2010,"Nova Olinda","Sertão Paraibano","Piancó",31.310691566927,34.4122072835335,"INDICADOR_329"
2010,"Nova Palmeira","Borborema","Seridó Oriental Paraibano",31.310691566927,25.8610163518486,"INDICADOR_329"
2010,"Olho d'Água","Sertão Paraibano","Piancó",31.310691566927,34.6045508900828,"INDICADOR_329"
2010,"Olivedos","Agreste Paraibano","Curimataú Ocidental",31.310691566927,17.3831625920079,"INDICADOR_329"
2010,"Ouro Velho","Borborema","Cariri Ocidental",31.310691566927,24.3103252170446,"INDICADOR_329"
2010,"Parari","Borborema","Cariri Ocidental",31.310691566927,22.755608478714,"INDICADOR_329"
2010,"Passagem","Sertão Paraibano","Patos",31.310691566927,29.2221187509535,"INDICADOR_329"
2010,"Patos","Sertão Paraibano","Patos",31.310691566927,19.3353518035271,"INDICADOR_329"
2010,"Paulista","Sertão Paraibano","Sousa",31.310691566927,33.1865212056568,"INDICADOR_329"
2010,"Pedra Branca","Sertão Paraibano","Itaporanga",31.310691566927,26.8211192375516,"INDICADOR_329"
2010,"Pedra Lavrada","Borborema","Seridó Oriental Paraibano",31.310691566927,28.5351774650042,"INDICADOR_329"
2010,"Pedras de Fogo","Mata Paraibana","Litoral Sul",31.310691566927,30.4848185587693,"INDICADOR_329"
2010,"Pedro Régis","Mata Paraibana","Litoral Norte",31.310691566927,44.8531318229739,"INDICADOR_329"
2010,"Piancó","Sertão Paraibano","Piancó",31.310691566927,28.880222101199,"INDICADOR_329"
2010,"Picuí","Borborema","Seridó Oriental Paraibano",31.310691566927,26.3564895401038,"INDICADOR_329"
2010,"Pilar","Mata Paraibana","Sapé",31.310691566927,33.0569325569763,"INDICADOR_329"
2010,"Pilões","Agreste Paraibano","Brejo Paraibano",31.310691566927,37.1333125688173,"INDICADOR_329"
2010,"Pilõezinhos","Agreste Paraibano","Guarabira",31.310691566927,36.2779200685988,"INDICADOR_329"
2010,"Pirpirituba","Agreste Paraibano","Guarabira",31.310691566927,30.5330011756322,"INDICADOR_329"
2010,"Pitimbu","Mata Paraibana","Litoral Sul",31.310691566927,28.1688458091071,"INDICADOR_329"
2010,"Pocinhos","Agreste Paraibano","Curimataú Ocidental",31.310691566927,26.7790891956648,"INDICADOR_329"
2010,"Poço Dantas","Sertão Paraibano","Cajazeiras",31.310691566927,41.3844419232685,"INDICADOR_329"
2010,"Poço de José de Moura","Sertão Paraibano","Cajazeiras",31.310691566927,25.5023925144861,"INDICADOR_329"
2010,"Pombal","Sertão Paraibano","Sousa",31.310691566927,28.0423585841388,"INDICADOR_329"
2010,"Prata","Borborema","Cariri Ocidental",31.310691566927,25.2795922726051,"INDICADOR_329"
2010,"Princesa Isabel","Sertão Paraibano","Serra do Teixeira",31.310691566927,26.6557650949113,"INDICADOR_329"
2010,"Puxinanã","Agreste Paraibano","Campina Grande",31.310691566927,22.78068266653,"INDICADOR_329"
2010,"Queimadas","Agreste Paraibano","Campina Grande",31.310691566927,22.1714565166675,"INDICADOR_329"
2010,"Quixabá","Sertão Paraibano","Patos",31.310691566927,27.0598388532023,"INDICADOR_329"
2010,"Remígio","Agreste Paraibano","Curimataú Ocidental",31.310691566927,32.0178044863338,"INDICADOR_329"
2010,"Riachão","Agreste Paraibano","Curimataú Oriental",31.310691566927,34.9356137203777,"INDICADOR_329"
2010,"Riachão do Bacamarte","Agreste Paraibano","Itabaiana",31.310691566927,37.4083783280818,"INDICADOR_329"
2010,"Riachão do Poço","Mata Paraibana","Sapé",31.310691566927,34.6789888463901,"INDICADOR_329"
2010,"Riacho de Santo Antônio","Borborema","Cariri Oriental",31.310691566927,25.8465056555378,"INDICADOR_329"
2010,"Riacho dos Cavalos","Sertão Paraibano","Catolé do Rocha",31.310691566927,36.2512514458869,"INDICADOR_329"
2010,"Rio Tinto","Mata Paraibana","Litoral Norte",31.310691566927,28.9476942692169,"INDICADOR_329"
2010,"Salgadinho","Borborema","Seridó Ocidental Paraibano",31.310691566927,30.2701446644072,"INDICADOR_329"
2010,"Salgado de São Félix","Agreste Paraibano","Itabaiana",31.310691566927,42.8057242908814,"INDICADOR_329"
