"cidade","Vizinho1","Vizinho2","Vizinho3","Vizinho4","Vizinho5","Vizinho6","Vizinho7","Vizinho8","Vizinho9","Vizinho10"
"Água Branca","Juru","Belém do Brejo do Cruz","Santarém","Bonito de Santa Fé","Serra Redonda","Logradouro","Santa Helena","Aguiar","Ibiara","Itatuba"
"Aguiar","Santarém","Santa Helena","Juru","Belém do Brejo do Cruz","Lagoa","Logradouro","Serraria","Itatuba","Água Branca","São Mamede"
"Alagoa Grande","Boqueirão","Solânea",NA,NA,NA,NA,NA,NA,NA,NA
"Alagoa Nova","Uiraúna","Cuité","Itaporanga","Sumé","Araruna","Pedro Régis","Puxinanã","Salgadinho","São João do Rio do Peixe","Lastro"
"Alagoinha","Itapororoca","Caiçara","Pitimbu","Pilões","Montadas","Santa Cecília","Imaculada","Soledade","Caaporã","Tacima"
"Alcantil","Diamante","Santo André","São José de Princesa","Passagem","Serra da Raiz","São José do Brejo do Cruz","São José do Sabugi","Assunção","Vieirópolis","Cabaceiras"
"Algodão de Jandaíra","São Francisco","Tenório","São João do Tigre","Frei Martinho","Catingueira","Camalaú","Malta","Igaracy","Sossêgo","Curral Velho"
"Alhandra","Fagundes","Tacima","Soledade","Nazarezinho","Pitimbu","Caiçara","Alagoinha","Itapororoca","Pilões","Montadas"
"Amparo","Mato Grosso","Bom Sucesso","Borborema","Bom Jesus","Santana dos Garrotes","Caldas Brandão","Pilõezinhos","Aparecida","Barra de São Miguel","São José de Caiana"
"Aparecida","Maturéia","Borborema","Damião","Santana dos Garrotes","São José de Caiana","Cubati","Pirpirituba","Barra de São Miguel","Mato Grosso","Nova Olinda"
"Araçagi","Tavares","Brejo do Cruz","Mataraca","Serra Branca","Marizópolis","Junco do Seridó","São Bento","Cacimba de Dentro","Coremas","Riachão"
"Arara","Cachoeira dos Índios","Olivedos","Natuba","São Mamede","Itatuba","Dona Inês","Serraria","Lagoa","Rio Tinto","Santa Helena"
"Araruna","São João do Rio do Peixe","Cuité","Teixeira","Puxinanã","Uiraúna","Sumé","Alagoa Nova","Itaporanga","Lastro","Pedro Régis"
"Areia","Catolé do Rocha","Itabaiana","Bananeiras","Mulungu","Quixabá","Conceição","Cabedelo",NA,NA,NA
"Areia de Baraúnas","São Domingos","Santa Inês","São José do Sabugi","São Domingos do Cariri","Assunção","Serra da Raiz","Cabaceiras","Santo André","Riacho dos Cavalos","Boa Vista"
"Areial","Olho d'Água","Santana de Mangueira","Caturité","Matinhas","São Miguel de Taipu","Cajazeirinhas","Gado Bravo","Sobrado","São Sebastião do Umbuzeiro","Santa Cruz"
"Assunção","Cabaceiras","São Domingos","Santa Inês","São José do Sabugi","Areia de Baraúnas","Boa Vista","Riacho dos Cavalos","Diamante","Serra da Raiz","São Domingos do Cariri"
"Baía da Traição","Pirpirituba","Damião","Maturéia","Bernardino Batista","Nova Olinda","São José de Caiana","Aparecida","Cuitegi","Cubati","São Bentinho"
"Bananeiras","Itabaiana","Mulungu","Areia","Quixabá","Catolé do Rocha","Conceição","Cabedelo",NA,NA,NA
"Baraúna","Santa Cruz","Monte Horebe","Sobrado","Riacho dos Cavalos","Barra de Santana","São Sebastião do Umbuzeiro","Boa Vista","São Domingos do Cariri","Cabaceiras","São Miguel de Taipu"
"Barra de Santa Rosa","São José de Piranhas","Picuí","Taperoá","Desterro","Cacimba de Dentro","Coremas","Poço Dantas","Belém","Riachão","São Bento"
"Barra de Santana","Riacho dos Cavalos","Boa Vista","Baraúna","Sobrado","Cabaceiras","Mogeiro","Monte Horebe","São Miguel de Taipu","Santa Cruz","Assunção"
"Barra de São Miguel","Caldas Brandão","Cubati","Pilõezinhos","Santana dos Garrotes","Bom Jesus","Borborema","Cacimbas","Bom Sucesso","Aparecida","Poço de José de Moura"
"Bayeux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belém","Poço Dantas","Umbuzeiro","Desterro","São José de Piranhas","Barra de Santa Rosa","Picuí","Taperoá","Coremas","Riachão","Cacimba de Dentro"
"Belém do Brejo do Cruz","Logradouro","Juru","Serra Redonda","Santarém","Aguiar","Água Branca","Bonito de Santa Fé","Santa Helena","Ibiara","São José da Lagoa Tapada"
"Bernardino Batista","Nova Olinda","Pirpirituba","Cuitegi","São Bentinho","São José de Caiana","Damião","Cacimba de Areia","Vista Serrana","Gurjão","Caraúbas"
"Boa Ventura","Santa Luzia","Nova Palmeira","Monteiro","São José do Bonfim","Serra Grande","Riacho de Santo Antônio","Carrapateira","Brejo dos Santos","São José dos Ramos","Coxixola"
"Boa Vista","Riacho dos Cavalos","Cabaceiras","Assunção","São Domingos","Santa Inês","Barra de Santana","Diamante","São Domingos do Cariri","São José do Sabugi","Areia de Baraúnas"
"Bom Jesus","Caldas Brandão","Pilõezinhos","Bom Sucesso","Barra de São Miguel","Amparo","Santana dos Garrotes","Borborema","Mato Grosso","Cubati","Riachão do Bacamarte"
"Bom Sucesso","Amparo","Bom Jesus","Mato Grosso","Caldas Brandão","Borborema","Santana dos Garrotes","Pilõezinhos","Barra de São Miguel","Aparecida","Cubati"
"Bonito de Santa Fé","Serra Redonda","Ibiara","São José da Lagoa Tapada","Logradouro","Belém do Brejo do Cruz","Água Branca","Juru","Santarém","Aguiar","Santa Helena"
"Boqueirão","Alagoa Grande","Solânea",NA,NA,NA,NA,NA,NA,NA,NA
"Borborema","Santana dos Garrotes","Aparecida","Amparo","Mato Grosso","Bom Sucesso","Cubati","Barra de São Miguel","Bom Jesus","Caldas Brandão","Maturéia"
"Brejo do Cruz","Mataraca","Serra Branca","Tavares","Araçagi","Junco do Seridó","Marizópolis","Cacimba de Dentro","Riachão","Coremas","Taperoá"
"Brejo dos Santos","Serra Grande","São José dos Ramos","São José do Bonfim","Sertãozinho","Carrapateira","Riacho de Santo Antônio","Riachão do Poço","Livramento","Coxixola","Riachão do Bacamarte"
"Caaporã","Queimadas","Imaculada","Itapororoca","Pitimbu","Santa Cecília","Pilões","Alagoinha","Montadas","Caiçara","Cruz do Espírito Santo"
"Cabaceiras","Assunção","Boa Vista","Riacho dos Cavalos","São Domingos","Santa Inês","São José do Sabugi","Areia de Baraúnas","Diamante","São Domingos do Cariri","Serra da Raiz"
"Cabedelo","Conceição","Bananeiras","Quixabá","Mulungu","Itabaiana","Areia","Catolé do Rocha",NA,NA,NA
"Cachoeira dos Índios","Arara","Olivedos","São Mamede","Itatuba","Serraria","Lagoa","Natuba","Santa Helena","Dona Inês","Aguiar"
"Cacimba de Areia","São Bentinho","Cuitegi","Zabelê","Emas","Caraúbas","Ouro Velho","Curral Velho","Vista Serrana","Parari","Gurjão"
"Cacimba de Dentro","Barra de Santa Rosa","Picuí","São Bento","São José de Piranhas","Taperoá","Coremas","Tavares","Marizópolis","Mataraca","Desterro"
