"cidade","Vizinho1","Vizinho2","Vizinho3","Vizinho4","Vizinho5","Vizinho6","Vizinho7","Vizinho8","Vizinho9","Vizinho10","V12"
"Bayeux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"Campina Grande",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"João Pessoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"Manaíra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"Paulista",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"Seridó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"Emas",0.0192,0.0452,0.0586,0.0603,0.0927,0.096,0.1158,0.1252,0.1308,0.1536,0.0897
"Curral Velho",0.0192,0.052,0.0659,0.0693,0.0908,0.1062,0.1117,0.1119,0.1453,0.156,0.0928
"São Domingos",0.0143,0.0539,0.0561,0.0784,0.0794,0.097,0.1302,0.1309,0.1351,0.1556,0.0931
"Caraúbas",0.0452,0.052,0.0622,0.0782,0.0955,0.0983,0.1015,0.1019,0.1455,0.1526,0.0933
"Santa Inês",0.0143,0.0569,0.0651,0.083,0.0839,0.0913,0.1295,0.1315,0.1465,0.1676,0.0969
"Assunção",0.0457,0.0539,0.0651,0.0785,0.1024,0.1026,0.1068,0.134,0.1381,0.145,0.0972
"Cacimba de Areia",0.0609,0.0892,0.0918,0.0927,0.0955,0.0975,0.1119,0.1138,0.1217,0.1254,0.1
"São Francisco",0.002,0.0213,0.0612,0.0772,0.1286,0.1428,0.1464,0.1522,0.1579,0.1633,0.1053
"Tenório",0.002,0.0226,0.062,0.0753,0.1304,0.1415,0.1483,0.1512,0.156,0.165,0.1054
"Algodão de Jandaíra",0.0213,0.0226,0.0408,0.0956,0.1275,0.1389,0.1421,0.1455,0.1627,0.1664,0.1063
"Cabaceiras",0.0457,0.0571,0.0611,0.0794,0.0839,0.1241,0.1351,0.145,0.1473,0.1838,0.1063
"São José do Sabugi",0.0605,0.0765,0.0784,0.0785,0.0785,0.0913,0.1241,0.1555,0.1666,0.1713,0.1081
