"COD_UF","NOME_UF","COD_MUNICIPIO","ANO","COD_MESO","NOME_MESO","COD_MICRO","NOME_MICRO","NOME_MUNICIPIO","numero.matriculas","IFDM","FPM"
25,"Paraíba",2504157,2011,2503,"Agreste Paraibano",250313,"Curimataú Oriental","Casserengue",1809,0.59131397039018,0.00271239692055608
25,"Paraíba",2504207,2011,2501,"Sertão Paraibano",250105,"Piancó","Catingueira",679,0.585995902123539,0.00271239692055608
25,"Paraíba",2504306,2011,2501,"Sertão Paraibano",250101,"Catolé do Rocha","Catolé do Rocha",3454,0.544556664740904,0.00271239692055608
25,"Paraíba",2504355,2011,2502,"Borborema",250211,"Cariri Oriental","Caturité",854,0.635997225948352,0.00632892580692333
25,"Paraíba",2504405,2011,2501,"Sertão Paraibano",250106,"Itaporanga","Conceição",2263,0.659191639284193,0.00271239692055608
25,"Paraíba",2504504,2011,2501,"Sertão Paraibano",250103,"Sousa","Condado",944,0.504075098145196,0.00542479365164502
25,"Paraíba",2504603,2011,2504,"Mata Paraibana",250422,"João Pessoa","Conde",4016,0.597680045202809,0.00271239692055608
25,"Paraíba",2504702,2011,2502,"Borborema",250210,"Cariri Ocidental","Congo",752,0.672427005057119,0.00542479365164502
25,"Paraíba",2504801,2011,2501,"Sertão Paraibano",250105,"Piancó","Coremas",1495,0.595432645470089,0.00271239692055608
25,"Paraíba",2504850,2011,2502,"Borborema",250210,"Cariri Ocidental","Coxixola",147,0.52483799062258,0.00452066126900614
25,"Paraíba",2504900,2011,2504,"Mata Paraibana",250421,"Sapé","Cruz do Espírito Santo",2843,0.517044524080909,0.00271239692055608
25,"Paraíba",2505006,2011,2502,"Borborema",250209,"Seridó Oriental Paraibano","Cubati",1591,0.546120860465611,0.00452066126900614
25,"Paraíba",2505105,2011,2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Cuité",2686,0.601127220280189,0.00271239692055608
25,"Paraíba",2505238,2011,2504,"Mata Paraibana",250420,"Litoral Norte","Cuité de Mamanguape",2308,0.601997342378604,0.00542479365164502
25,"Paraíba",2505204,2011,2503,"Agreste Paraibano",250316,"Guarabira","Cuitegi",1045,0.567319176288407,0.00271239692055608
25,"Paraíba",2505279,2011,2504,"Mata Paraibana",250420,"Litoral Norte","Curral de Cima",1416,0.584865729391098,0.00271239692055608
25,"Paraíba",2505303,2011,2501,"Sertão Paraibano",250106,"Itaporanga","Curral Velho",589,0.57227538865077,0.00271239692055608
25,"Paraíba",2505352,2011,2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Damião",1331,0.556261914712798,0.00271239692055608
25,"Paraíba",2505402,2011,2501,"Sertão Paraibano",250107,"Serra do Teixeira","Desterro",1418,0.608168900443463,0.00271239692055608
25,"Paraíba",2505600,2011,2501,"Sertão Paraibano",250106,"Itaporanga","Diamante",1299,0.606675640314555,0.00271239692055608
25,"Paraíba",2505709,2011,2503,"Agreste Paraibano",250313,"Curimataú Oriental","Dona Inês",2154,0.513236286712148,0.00271239692055608
25,"Paraíba",2505808,2011,2503,"Agreste Paraibano",250316,"Guarabira","Duas Estradas",955,0.672806127184702,0.00361652907583439
25,"Paraíba",2505907,2011,2501,"Sertão Paraibano",250105,"Piancó","Emas",599,0.571355819383009,0.00271239692055608
25,"Paraíba",2506004,2011,2503,"Agreste Paraibano",250314,"Esperança","Esperança",5019,0.541238185302719,0.00271239692055608
25,"Paraíba",2506103,2011,2503,"Agreste Paraibano",250317,"Campina Grande","Fagundes",2332,0.650563712939001,0.00723305800009508
25,"Paraíba",2506202,2011,2502,"Borborema",250209,"Seridó Oriental Paraibano","Frei Martinho",459,0.577203637848038,0.00361652907583439
25,"Paraíba",2506251,2011,2503,"Agreste Paraibano",250319,"Umbuzeiro","Gado Bravo",2721,0.647057391079273,0.00271239692055608
25,"Paraíba",2506301,2011,2503,"Agreste Paraibano",250316,"Guarabira","Guarabira",6168,0.551538686826136,0.00271239692055608
25,"Paraíba",2506400,2011,2503,"Agreste Paraibano",250318,"Itabaiana","Gurinhém",2467,0.686537821049415,0.00994545473118402
25,"Paraíba",2506509,2011,2502,"Borborema",250211,"Cariri Oriental","Gurjão",494,0.561108875330187,0.00452066126900614
25,"Paraíba",2506608,2011,2501,"Sertão Paraibano",250106,"Itaporanga","Ibiara",646,0.582749651178064,0.00271239692055608
25,"Paraíba",2502607,2011,2501,"Sertão Paraibano",250105,"Piancó","Igaracy",1069,0.57360542147984,0.00271239692055608
25,"Paraíba",2506707,2011,2501,"Sertão Paraibano",250107,"Serra do Teixeira","Imaculada",2047,0.558860209885169,0.00271239692055608
25,"Paraíba",2506806,2011,2503,"Agreste Paraibano",250318,"Itabaiana","Ingá",2817,0.540442530148371,0.00361652907583439
25,"Paraíba",2506905,2011,2503,"Agreste Paraibano",250318,"Itabaiana","Itabaiana",2018,0.584525641607896,0.00542479365164502
25,"Paraíba",2507002,2011,2501,"Sertão Paraibano",250106,"Itaporanga","Itaporanga",1675,0.591415560344196,0.00632892580692333
25,"Paraíba",2507101,2011,2504,"Mata Paraibana",250420,"Litoral Norte","Itapororoca",2923,0.58611734188191,0.00542479365164502
25,"Paraíba",2507200,2011,2503,"Agreste Paraibano",250318,"Itabaiana","Itatuba",1506,0.54936645203555,0.00542479365164502
25,"Paraíba",2507309,2011,2504,"Mata Paraibana",250420,"Litoral Norte","Jacaraú",3376,0.510755525018496,0.00361652907583439
25,"Paraíba",2507408,2011,2501,"Sertão Paraibano",250101,"Catolé do Rocha","Jericó",1237,0.615461576036212,0.00452066126900614
25,"Paraíba",2507507,2011,2504,"Mata Paraibana",250422,"João Pessoa","João Pessoa",55029,0.565770490174584,0.00271239692055608
25,"Paraíba",2507606,2011,2503,"Agreste Paraibano",250318,"Itabaiana","Juarez Távora",1739,0.798666564808638,0.128860758344637
25,"Paraíba",2507705,2011,2502,"Borborema",250209,"Seridó Oriental Paraibano","Juazeirinho",3206,0.575228253896193,0.00271239692055608
25,"Paraíba",2507804,2011,2502,"Borborema",250208,"Seridó Ocidental Paraibano","Junco do Seridó",910,0.557156888227938,0.00452066126900614
25,"Paraíba",2507903,2011,2504,"Mata Paraibana",250421,"Sapé","Juripiranga",1817,0.575177999765932,0.00271239692055608
25,"Paraíba",2508000,2011,2501,"Sertão Paraibano",250107,"Serra do Teixeira","Juru",1507,0.566525151440339,0.00361652907583439
25,"Paraíba",2508109,2011,2501,"Sertão Paraibano",250101,"Catolé do Rocha","Lagoa",1067,0.549946418443593,0.00271239692055608
25,"Paraíba",2508208,2011,2503,"Agreste Paraibano",250316,"Guarabira","Lagoa de Dentro",2384,0.537316838180477,0.00271239692055608
25,"Paraíba",2508307,2011,2503,"Agreste Paraibano",250317,"Campina Grande","Lagoa Seca",4093,0.598692267060764,0.00271239692055608
25,"Paraíba",2508406,2011,2501,"Sertão Paraibano",250103,"Sousa","Lastro",779,0.598882203290117,0.00632892580692333
25,"Paraíba",2508505,2011,2502,"Borborema",250210,"Cariri Ocidental","Livramento",1378,0.526547865546403,0.00271239692055608
25,"Paraíba",2508554,2011,2503,"Agreste Paraibano",250316,"Guarabira","Logradouro",875,0.572533709040182,0.00271239692055608
25,"Paraíba",2508604,2011,2504,"Mata Paraibana",250422,"João Pessoa","Lucena",2601,0.539702106074084,0.00271239692055608
25,"Paraíba",2508703,2011,2501,"Sertão Paraibano",250104,"Patos","Mãe d'Água",767,0.602642659653432,0.00361652907583439
25,"Paraíba",2508802,2011,2501,"Sertão Paraibano",250103,"Sousa","Malta",767,0.586827785955327,0.00271239692055608
25,"Paraíba",2508901,2011,2504,"Mata Paraibana",250420,"Litoral Norte","Mamanguape",6407,0.583976989109102,0.00271239692055608
25,"Paraíba",2509008,2011,2501,"Sertão Paraibano",250107,"Serra do Teixeira","Manaíra",1851,0.535099134768122,0.00813719023116025
25,"Paraíba",2509057,2011,2504,"Mata Paraibana",250420,"Litoral Norte","Marcação",2322,0.517722028485791,0.00361652907583439
25,"Paraíba",2509107,2011,2504,"Mata Paraibana",250421,"Sapé","Mari",3312,0.544316577656795,0.00271239692055608
25,"Paraíba",2509156,2011,2501,"Sertão Paraibano",250103,"Sousa","Marizópolis",1799,0.572663457875526,0.00542479365164502
25,"Paraíba",2509206,2011,2503,"Agreste Paraibano",250317,"Campina Grande","Massaranduba",2312,0.52922053725766,0.00271239692055608
25,"Paraíba",2509305,2011,2504,"Mata Paraibana",250420,"Litoral Norte","Mataraca",2065,0.567635121258647,0.00361652907583439
25,"Paraíba",2509339,2011,2503,"Agreste Paraibano",250315,"Brejo Paraibano","Matinhas",624,0.637727630743293,0.00271239692055608
25,"Paraíba",2509370,2011,2501,"Sertão Paraibano",250101,"Catolé do Rocha","Mato Grosso",447,0.549355276081013,0.00271239692055608
25,"Paraíba",2509396,2011,2501,"Sertão Paraibano",250107,"Serra do Teixeira","Maturéia",1568,0.552484287944626,0.00271239692055608
25,"Paraíba",2509404,2011,2503,"Agreste Paraibano",250318,"Itabaiana","Mogeiro",2599,0.61344222741283,0.00271239692055608
25,"Paraíba",2509503,2011,2503,"Agreste Paraibano",250314,"Esperança","Montadas",1116,0.572960204231439,0.00361652907583439
25,"Paraíba",2509602,2011,2501,"Sertão Paraibano",250102,"Cajazeiras","Monte Horebe",704,0.62207290494654,0.00271239692055608
25,"Paraíba",2509701,2011,2502,"Borborema",250210,"Cariri Ocidental","Monteiro",3251,0.499071283204574,0.00271239692055608
25,"Paraíba",2509800,2011,2503,"Agreste Paraibano",250316,"Guarabira","Mulungu",1625,0.595136098604239,0.00723305800009508
25,"Paraíba",2509909,2011,2503,"Agreste Paraibano",250319,"Umbuzeiro","Natuba",2012,0.518764765910497,0.00271239692055608
25,"Paraíba",2510006,2011,2501,"Sertão Paraibano",250103,"Sousa","Nazarezinho",1356,0.65504122157789,0.00361652907583439
25,"Paraíba",2510105,2011,2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Nova Floresta",1298,NA,0.00271239692055608
25,"Paraíba",2510204,2011,2501,"Sertão Paraibano",250105,"Piancó","Nova Olinda",1120,0.561139411748279,0.00361652907583439
25,"Paraíba",2510303,2011,2502,"Borborema",250209,"Seridó Oriental Paraibano","Nova Palmeira",707,0.511444154590131,0.00271239692055608
25,"Paraíba",2510402,2011,2501,"Sertão Paraibano",250105,"Piancó","Olho d'Água",1207,0.651109648552775,0.00271239692055608
25,"Paraíba",2510501,2011,2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Olivedos",933,0.531175778806863,0.00271239692055608
25,"Paraíba",2510600,2011,2502,"Borborema",250210,"Cariri Ocidental","Ouro Velho",356,0.570353885999252,0.00271239692055608
25,"Paraíba",2510659,2011,2502,"Borborema",250210,"Cariri Ocidental","Parari",230,0.563242182994507,0.00271239692055608
25,"Paraíba",2510709,2011,2501,"Sertão Paraibano",250104,"Patos","Passagem",469,0.597729399429629,0.00271239692055608
25,"Paraíba",2510808,2011,2501,"Sertão Paraibano",250104,"Patos","Patos",9540,0.556132006743653,0.00271239692055608
25,"Paraíba",2510907,2011,2501,"Sertão Paraibano",250103,"Sousa","Paulista",1869,0.682736499937673,0.0135619836175513
25,"Paraíba",2511004,2011,2501,"Sertão Paraibano",250106,"Itaporanga","Pedra Branca",836,0.618231405432635,0.00361652907583439
25,"Paraíba",2511103,2011,2502,"Borborema",250209,"Seridó Oriental Paraibano","Pedra Lavrada",1898,0.575724714477792,0.00271239692055608
25,"Paraíba",2511202,2011,2504,"Mata Paraibana",250423,"Litoral Sul","Pedras de Fogo",6781,0.690024131123971,0.00271239692055608
25,"Paraíba",2512721,2011,2504,"Mata Paraibana",250420,"Litoral Norte","Pedro Régis",1037,0.58623493450256,0.00632892580692333
25,"Paraíba",2511301,2011,2501,"Sertão Paraibano",250105,"Piancó","Piancó",2582,0.607129140334543,0.00271239692055608
25,"Paraíba",2511400,2011,2502,"Borborema",250209,"Seridó Oriental Paraibano","Picuí",3676,0.606893142471915,0.00452066126900614
25,"Paraíba",2511509,2011,2504,"Mata Paraibana",250421,"Sapé","Pilar",1655,0.688543450619692,0.00542479365164502
