"Cidade","Distancia1","Distancia2","Distancia3","Distancia4","Distancia5","Distancia6","Distancia7","Distancia8","Distancia9","Distancia10"
"Água Branca",0.0560301996603595,0.0735770664156082,0.074609957021609,0.0757490849123222,0.0906957433311567,0.10341702567354,0.136034528402029,0.144791789315403,0.151076659248307,0.157600820163385
"Aguiar",0.0119028178852804,0.0378932743651734,0.0423853833544478,0.0579147189872494,0.0672377186903284,0.073788819590848,0.0971251688332396,0.118378526029956,0.119292877050586,0.13081733668277
"Alagoa Grande",0.236575253229449,0.269494692027455,0.30742469205706,0.398122880927495,0.427920651030719,0.434740809715833,0.435606143460598,0.443451481486302,0.453209355318889,0.510786186953403
"Alagoa Nova",0.09670161226355,0.151000077120722,0.152946543574521,0.162888347301537,0.183988890604577,0.201104039813337,0.224759599143075,0.231328025738741,0.245626393717322,0.282049181505832
"Alagoinha",0.0477097980685833,0.11242352312397,0.138157850583744,0.140010460051753,0.146976834539401,0.154038132592154,0.155605808543123,0.162957222463649,0.166904840977559,0.186613698575617
"Alcantil",0.0787863793520435,0.080896834111391,0.0867593874471889,0.118297323914831,0.133549685212033,0.134330354344819,0.136652866111785,0.145914368683518,0.146368016939442,0.158399360422141
"Algodão de Jandaíra",0.0225389777750483,0.037453081689089,0.039246667327568,0.0442049008113109,0.0786187092929932,0.0837190470841567,0.088703278731187,0.0895306694039537,0.103117186528251,0.118694090854844
"Alhandra",0.124573920041228,0.304312733386833,0.3075722705279,0.332172344129825,0.33308786985027,0.385639156347724,0.398299038099688,0.441949122350511,0.480733459565563,0.483134184212309
"Amparo",0.049098897041326,0.0622603837957305,0.0721547133872436,0.105110400318718,0.117164802053231,0.129506499214208,0.130469141800183,0.145939162193373,0.151408835600684,0.161058698102392
"Aparecida",0.0645436415915131,0.0653536659129136,0.0905795813496993,0.0924626323929906,0.106493246917178,0.129323020556273,0.154911650325809,0.157728295239006,0.184635049461188,0.18896064724997
"Araçagi",0.0426273223410586,0.154622859666909,0.156964485046252,0.161734139404733,0.193015538938015,0.220457872781465,0.224776522447947,0.229481734764859,0.246682177248744,0.25840034099052
