"Cidade","Vizinho1","Vizinho2","Vizinho3","Vizinho4","Vizinho5","Vizinho6","Vizinho7","Vizinho8","Vizinho9","Vizinho10"
"Água Branca","Puxinanã","Massaranduba","Juripiranga","Cuité de Mamanguape","Capim","Pilar","Salgado de São Félix","Juarez Távora","Mogeiro","Curral de Cima"
"Aguiar","Pilõezinhos","Santana dos Garrotes","Igaracy","Santa Cruz","Bernardino Batista","Nova Floresta","São José da Lagoa Tapada","Jericó","Vista Serrana","Santo André"
"Alagoa Grande","Bananeiras","Rio Tinto","Lagoa Seca","Pedras de Fogo","Cacimba de Dentro","Sousa","Alagoa Nova","São Bento","Monteiro","Remígio"
"Alagoa Nova","Pitimbu","São João do Rio do Peixe","Cacimba de Dentro","Ingá","Rio Tinto","Boqueirão","Remígio","Marizópolis","Bananeiras","Monteiro"
"Alagoinha","Soledade","Boqueirão","Itabaiana","Uiraúna","Ingá","Seridó","Casserengue","Itaporanga","Caiçara","São José de Piranhas"
"Alcantil","Condado","Santarém","São José de Espinharas","Pedro Régis","São José do Bonfim","Cubati","Congo","Prata","Desterro","Damião"
"Algodão de Jandaíra","Tenório","São Bentinho","Serra Grande","Sossêgo","São Domingos do Cariri","Malta","Pedra Branca","Gurjão","Junco do Seridó","Cuitegi"
"Alhandra","Catolé do Rocha","Pombal","Umbuzeiro","Mataraca","Belém","São Sebastião de Lagoa de Roça","Sumé","Solânea","Esperança","São Mamede"
"Amparo","Matinhas","Bom Sucesso","Catingueira","Mato Grosso","Borborema","Bom Jesus","Emas","Santana de Mangueira","São José dos Ramos","Caldas Brandão"
"Aparecida","Serra Redonda","Juru","Santana de Mangueira","Borborema","São José da Lagoa Tapada","São José dos Ramos","Igaracy","Matinhas","Curral Velho","Barra de São Miguel"
"Araçagi","Juazeirinho","Itapororoca","Gado Bravo","Gurinhém","Areia de Baraúnas","Tavares","Cruz do Espírito Santo","Salgado de São Félix","Brejo do Cruz","Baía da Traição"
"Arara","Mari","Cachoeira dos Índios","Poço Dantas","Imaculada","Pilões","Cacimbas","Olho d'Água","Coremas","Lagoa","Marcação"
"Araruna","Jacaraú","Barra de Santa Rosa","Pocinhos","Piancó","Solânea","Cuité","Lucena","Lagoa Seca","Princesa Isabel","Teixeira"
"Areia de Baraúnas","Tavares","Marizópolis","Salgado de São Félix","Juazeirinho","Araçagi","Gurinhém","Mogeiro","Massaranduba","Cuité de Mamanguape","São João do Rio do Peixe"
"Areia","São João do Cariri","São José do Brejo do Cruz","Riacho de Santo Antônio","Assunção","Prata","São Domingos","Cabaceiras","São José de Espinharas","Santa Helena","Pedro Régis"
"Areial","Mataraca","Nova Palmeira","Santa Teresinha","Umbuzeiro","Frei Martinho","Natuba","São Mamede","Cajazeirinhas","Sumé","São Sebastião de Lagoa de Roça"
"Assunção","Cabaceiras","Santa Helena","Pedro Régis","Areia","Prata","São José do Brejo do Cruz","São Domingos","Riacho de Santo Antônio","São João do Cariri","Damião"
"Baía da Traição","Brejo do Cruz","Gurinhém","Juripiranga","Puxinanã","Cuité de Mamanguape","Nova Floresta","Massaranduba","Salgado de São Félix","Água Branca","Bernardino Batista"
