"cidade","Vizinho1","Vizinho2","Vizinho3","Vizinho4","Vizinho5","Vizinho6","Vizinho7","Vizinho8","Vizinho9","Vizinho10"
"Água Branca","Mataraca","Marizópolis","Pilões","Santa Cecília","Juru","Juripiranga","Pedra Lavrada","Baía da Traição","Brejo do Cruz","Imaculada"
"Aguiar","Nova Olinda","Santarém","Santa Helena","Bernardino Batista","Junco do Seridó","Pirpirituba","São José de Caiana","São Bentinho","Gurjão","Damião"
"Alagoa Grande","São Bento","Bananeiras","Lagoa Seca","Mamanguape","Conde","Pocinhos","Pombal","Cacimba de Dentro","Alagoa Nova","Picuí"
"Alagoa Nova","Pocinhos","Itapororoca","Cacimba de Dentro","Pitimbu","Juazeirinho","Boqueirão","Bananeiras","Pombal","Alagoinha","Itabaiana"
"Alagoinha","Boqueirão","Itapororoca","Casserengue","Itabaiana","Itaporanga","Caiçara","Pitimbu","Mulungu","Coremas","Curral de Cima"
"Alcantil","Mãe d'Água","Lastro","Quixabá","Diamante","Santo André","São José de Princesa","Passagem","São José do Brejo do Cruz","Desterro","São José do Sabugi"
"Algodão de Jandaíra","São Francisco","São João do Tigre","Frei Martinho","Catingueira","Camalaú","Pedro Régis","Malta","Igaracy","Logradouro","Montadas"
"Alhandra","Gado Bravo","Belém","Fagundes","Remígio","São Miguel de Taipu","Areial","Conceição","Santana de Mangueira","São João do Rio do Peixe","Olho d'Água"
"Amparo","Mato Grosso","Bom Sucesso","Borborema","Bom Jesus","Santana dos Garrotes","Lagoa","Caldas Brandão","Aparecida","Pilõezinhos","Barra de São Miguel"
"Aparecida","Lagoa","Maturéia","Itatuba","Borborema","Damião","Santana dos Garrotes","São José de Caiana","Cubati","São Mamede","Junco do Seridó"
"Araçagi","Areia","Imaculada","Brejo do Cruz","Baía da Traição","Mari","Catolé do Rocha","Mataraca","Ingá","Água Branca","Maturéia"
"Arara","Manaíra","Massaranduba","Cachoeira dos Índios","Poço de José de Moura","Lagoa de Dentro","Salgado de São Félix","Cacimbas","Livramento","Lucena","Ingá"
"Araruna","Picuí","São João do Rio do Peixe","Barra de Santa Rosa","Piancó","Mogeiro","São José de Piranhas","Cuité","Lagoa Seca","Princesa Isabel","Remígio"
"Areia","Araçagi","Juazeirinho","Mataraca","Água Branca","Brejo do Cruz","Baía da Traição","Imaculada","Santa Cecília","Marizópolis","Alagoa Nova"
"Areia de Baraúnas","São Domingos","Santa Inês","São José do Sabugi","Assunção","São Domingos do Cariri","Cabaceiras","Santo André","Pedra Branca","São João do Cariri","Riacho dos Cavalos"
"Areial","Olho d'Água","Santana de Mangueira","Nazarezinho","Caturité","Matinhas","Fagundes","São Miguel de Taipu","Prata","Gado Bravo","Cajazeirinhas"
"Assunção","Cabaceiras","São Domingos","Santa Inês","São José do Sabugi","Areia de Baraúnas","Riacho dos Cavalos","Jericó","Boa Vista","Diamante","Desterro"
"Baía da Traição","Imaculada","Brejo do Cruz","Santa Cecília","Pirpirituba","Mataraca","Juru","Damião","Água Branca","Maturéia","Bernardino Batista"
"Bananeiras","Lagoa Seca","Conde","Cacimba de Dentro","Pombal","Pocinhos","Alagoa Grande","Alagoa Nova","Pitimbu","São Bento","Picuí"
"Baraúna","Santa Teresinha","Santa Cruz","Monte Horebe","Pedra Branca","Poço Dantas","São João do Cariri","Jericó","Riacho dos Cavalos","São Sebastião do Umbuzeiro","Barra de Santana"
"Barra de Santa Rosa","São José de Piranhas","Cuité","Piancó","Princesa Isabel","Cuité de Mamanguape","Araruna","Mogeiro","São João do Rio do Peixe","Picuí","Puxinanã"
"Barra de Santana","Poço Dantas","Jericó","Riacho dos Cavalos","Boa Vista","Baraúna","Pedra Branca","Cabaceiras","Mogeiro","Monte Horebe","Belém"
"Barra de São Miguel","São Mamede","Caldas Brandão","Cubati","Pilõezinhos","Santana dos Garrotes","Bom Jesus","Borborema","Itatuba","Cachoeira dos Índios","Lagoa"
"Bayeux","Patos","Queimadas","Mamanguape","Cajazeiras","Alagoa Grande","São Bento","Guarabira","Conde","Bananeiras","Caaporã"
"Belém","Remígio","São Miguel de Taipu","Barra de Santana","São João do Rio do Peixe","Poço Dantas","Mogeiro","Alhandra","Baraúna","Santana de Mangueira","Boa Vista"
"Belém do Brejo do Cruz","Montadas","Igaracy","Camalaú","Logradouro","Caraúbas","Cuitegi","Emas","Curral Velho","Cacimba de Areia","Pilões"
"Bernardino Batista","Santarém","Nova Olinda","Aguiar","Pirpirituba","Santa Helena","Cuitegi","Juru","São Bentinho","Santa Cecília","Junco do Seridó"
"Boa Ventura","São Sebastião de Lagoa de Roça","Santa Luzia","Condado","São José de Espinharas","Nova Palmeira","Monteiro","Dona Inês","São José do Bonfim","Natuba","Riacho de Santo Antônio"
"Boa Vista","Riacho dos Cavalos","Jericó","Cabaceiras","Poço Dantas","Assunção","Pedra Branca","São Domingos","Desterro","Santa Inês","Barra de Santana"
"Bom Jesus","Caldas Brandão","Pilõezinhos","Bom Sucesso","Barra de São Miguel","Amparo","Santana dos Garrotes","Borborema","Mato Grosso","Lagoa","São Mamede"
"Bom Sucesso","Amparo","Bom Jesus","Mato Grosso","Caldas Brandão","Borborema","Santana dos Garrotes","Pilõezinhos","Lagoa","Barra de São Miguel","Aparecida"
"Bonito de Santa Fé","Capim","Curral de Cima","Pedra Lavrada","Juripiranga","São João do Tigre","Pedro Régis","Algodão de Jandaíra","Marizópolis","Itabaiana","Igaracy"
"Boqueirão","Itapororoca","Pitimbu","Alagoinha","Cacimba de Dentro","Alagoa Nova","Itabaiana","Pombal","Casserengue","Pocinhos","Itaporanga"
"Borborema","Santana dos Garrotes","Lagoa","Aparecida","Amparo","Itatuba","Mato Grosso","Bom Sucesso","São Mamede","Cubati","Barra de São Miguel"
"Brejo do Cruz","Imaculada","Baía da Traição","Mataraca","Santa Cecília","Pirpirituba","Juru","Damião","Água Branca","Maturéia","Santa Helena"
"Brejo dos Santos","São José dos Ramos","São José do Bonfim","Carrapateira","Riacho de Santo Antônio","Riachão do Poço","Livramento","Coxixola","Olivedos","Riachão do Bacamarte","Nova Palmeira"
"Caaporã","Guarabira","Esperança","São Bento","Areia","Rio Tinto","Catolé do Rocha","Araçagi","Mari","Queimadas","Juazeirinho"
"Cabaceiras","Assunção","Riacho dos Cavalos","Jericó","São Domingos","Boa Vista","Santa Inês","Pedra Branca","São José do Sabugi","Areia de Baraúnas","Desterro"
"Cabedelo","Juarez Távora","Pedras de Fogo","Gurinhém","Pilar","Paulista","São José dos Cordeiros","Duas Estradas","Congo","Conceição","Fagundes"
"Cachoeira dos Índios","Manaíra","Poço de José de Moura","Arara","Cacimbas","Barra de São Miguel","Pilõezinhos","Lagoa de Dentro","Riachão do Bacamarte","Caldas Brandão","São Mamede"
"Cacimba de Areia","São Bentinho","Cuitegi","Emas","Caraúbas","Ouro Velho","Curral Velho","Parari","Gurjão","Logradouro","Belém do Brejo do Cruz"
"Cacimba de Dentro","Pitimbu","Alagoa Nova","Itapororoca","Boqueirão","Pocinhos","Bananeiras","Pombal","Lagoa Seca","Alagoinha","Cuité"
"Cacimbas","Lagoa de Dentro","Salgado de São Félix","Lucena","Manaíra","Cachoeira dos Índios","Cubati","São Mamede","Arara","Ingá","Barra de São Miguel"
"Caiçara","Casserengue","Mulungu","Coremas","Itaporanga","São José da Lagoa Tapada","Alagoinha","Curral de Cima","Pedro Régis","Riachão","Salgadinho"
