"cidade","distancia.media"
"São Bentinho",0.0209972313526865
"Bernardino Batista",0.0214380708155579
"Camalaú",0.0216558182847972
"Caraúbas",0.0216923053282814
"Nova Olinda",0.0216988486548201
"São José de Caiana",0.0220362334838215
"Cacimba de Areia",0.022176876350882
"Vista Serrana",0.0227616246982761
"Aparecida",0.0231137045868252
"Ouro Velho",0.0234813560876942
"Zabelê",0.0236965238015388
"Emas",0.0245524311368739
"Santana dos Garrotes",0.0247734086780554
"Maturéia",0.0248479394991822
"Curral Velho",0.0249671011284049
"Frei Martinho",0.0258198678736581
"São Domingos",0.0264772057929788
"Mato Grosso",0.0265149449530996
"Igaracy",0.0267771294911375
"Santa Inês",0.0268983412664455
"Diamante",0.0269559336921146
"Areia de Baraúnas",0.0281247523115716
"Riacho dos Cavalos",0.0282521623824924
"São João do Tigre",0.0285106130011854
"Tenório",0.0288300847223287
"São José de Princesa",0.0291352602138552
"Passagem",0.0292501909047906
"Bom Sucesso",0.0293336110010815
"Pedra Lavrada",0.0298812870484592
"São José do Brejo do Cruz",0.0300428329650506
"Catingueira",0.0301900382275021
"Malta",0.0302559336475752
"Santarém",0.030825502810674
"Vieirópolis",0.030880807349236
"Bom Jesus",0.031111195480735
"Aguiar",0.031453637264002
"São Francisco",0.0317276627107631
"Cabaceiras",0.0320081775168364
"Juru",0.0322600795666868
"Santa Helena",0.0323389887763525
"Assunção",0.0327907511533572
"São Domingos do Cariri",0.0329215751591726
"Princesa Isabel",0.0330218045038816
"Belém do Brejo do Cruz",0.0332990349988848
"Parari",0.0339108280908475
"Pilõezinhos",0.0341967740687545
"Caldas Brandão",0.0349325053148446
"Monte Horebe",0.0358471027708918
"Lagoa de Dentro",0.0359091527694855
"São José do Sabugi",0.0362687681014853
"Água Branca",0.0362918837070348
"Riachão do Bacamarte",0.036527551516631
"Gurjão",0.0366039131589966
"Piancó",0.0368076648329913
"Cacimbas",0.0372303811857308
"Salgado de São Félix",0.0374187835563935
"Poço de José de Moura",0.038040117765158
"Barra de Santana",0.0380476227759491
"Baraúna",0.0385111024908217
"Borborema",0.038880100020586
"Massaranduba",0.0401408644013067
"Bonito de Santa Fé",0.0413040224286278
"Santo André",0.0416784527911456
"Sertãozinho",0.0420687686082382
"Santa Cruz",0.0424047148615638
"Ibiara",0.0425571302021573
"Lagoa",0.0429069546563044
"Brejo dos Santos",0.0439946867418648
"São José da Lagoa Tapada",0.044782419951256
"Damião",0.0451313365817093
"Carrapateira",0.0457602108677452
"Serra Grande",0.0460103111715742
"Alcantil",0.0461434502507277
"Jericó",0.0466783357582455
"Arara",0.0472614366089156
"São José do Bonfim",0.0477551221707275
"Pedra Branca",0.0481025148441479
"Olivedos",0.0483265788886118
"Juazeirinho",0.0487111106199028
"Pirpirituba",0.0488518526077314
"Mãe d'Água",0.0489124368166274
"Itatuba",0.050707595034835
"Amparo",0.0508437166390127
"Serraria",0.0510127534780748
"São Sebastião do Umbuzeiro",0.051129230111616
"Serra Redonda",0.0512610305823711
"Pombal",0.051834453558513
"Logradouro",0.0524438771558714
"Cuitegi",0.0526220582379099
"Cubati",0.0527931082639222
"Barra de São Miguel",0.0530416764522274
"Pilões",0.0537708222998767
"Alagoinha",0.0541249879620835
"Uiraúna",0.0544581582315837
"Montadas",0.0545804525110847
"Imaculada",0.0547120847013714
"Lastro",0.0549282276477513
"Cuité",0.0549370246416659
"Algodão de Jandaíra",0.0565828465946172
"São José de Piranhas",0.0566567366394973
"Cachoeira dos Índios",0.0567277678162462
"Santa Cecília",0.0570222261555305
"Caiçara",0.0573126267581362
"Itaporanga",0.0574912377641836
"Natuba",0.0576790857986933
"São João do Cariri",0.0577529680035533
"Coremas",0.0581535428010637
"Desterro",0.0582087741755124
"Barra de Santa Rosa",0.058433252563457
"Casserengue",0.0584371582070428
"Santana de Mangueira",0.0590282013764945
"Sossêgo",0.0598557634164322
"Puxinanã",0.0618328784798786
"Cacimba de Dentro",0.0625744561203282
"Livramento",0.0628031961290476
"São João do Rio do Peixe",0.0633022991077089
"Caturité",0.0634678430845906
"Pocinhos",0.0634897338210252
"Teixeira",0.0636834556779514
"Araruna",0.0642671668713674
"Riachão",0.0651001626898213
"Alagoa Nova",0.0655396756997072
"Coxixola",0.0657508406972191
"Dona Inês",0.0661115002520144
"Bananeiras",0.0672529562151718
"Boa Vista",0.0677420312401965
"Mogeiro",0.0682397949353352
"Poço Dantas",0.068586407623726
"Marizópolis",0.0688160155676017
"Riacho de Santo Antônio",0.0689199180344906
"Mulungu",0.0690034996437361
"Serra da Raiz",0.0691282530345233
"São Mamede",0.0708646646776553
"Itabaiana",0.0711455183899522
"Remígio",0.0717828274752705
"Tavares",0.0725368995579411
"Lagoa Seca",0.0731565789409885
"Capim",0.0746890802291316
"Juripiranga",0.0749035973578838
"Belém",0.0751353827288055
"Soledade",0.0776955379375335
"Brejo do Cruz",0.0777052228567752
"Baía da Traição",0.0783993046022881
"Curral de Cima",0.0791014585706228
"Matinhas",0.0792106331153485
"Lucena",0.0803664336832849
"Mari",0.0811935294266581
"Areial",0.0813384306064045
"Tacima",0.0816593497672588
"São Bento",0.0835930117535135
"Araçagi",0.0836296701244829
"Cuité de Mamanguape",0.0845785466591656
"Conde",0.0852408979717033
"Quixabá",0.0854230538524178
"Rio Tinto",0.0857033270947371
"Itapororoca",0.0857767334492085
"Olho d'Água",0.0862215127471366
"Gado Bravo",0.0870172364356663
"Nova Palmeira",0.0876711085383797
"Pitimbu",0.0879939571487088
"Areia",0.0906868445501476
"Condado",0.0922162084958407
"Fagundes",0.0937578696497403
"Riachão do Poço",0.0944946818951505
"Cajazeirinhas",0.0976959825466893
"Alagoa Grande",0.0981494771948955
"Umbuzeiro",0.0986460359517655
"São José dos Ramos",0.0990180272443911
"Mamanguape",0.10143008052443
"Marcação",0.103829137320783
"Caaporã",0.104010150726647
"Cruz do Espírito Santo",0.104403774656474
"Taperoá",0.110362924427663
"Solânea",0.111056254273561
"Queimadas",0.11321738510711
"Ingá",0.114391101180381
"Mataraca",0.115879458488744
"São Sebastião de Lagoa de Roça",0.116931790960816
"Esperança",0.118795531774454
"Monteiro",0.119315217081238
"Junco do Seridó",0.120269282390616
"Sobrado",0.120933370779134
"Nazarezinho",0.121232278980391
"Picuí",0.122823922189036
"Congo",0.123244268544287
"Serra Branca",0.123913326784682
"Salgadinho",0.124376761616896
"Sumé",0.124833139697888
"São Miguel de Taipu",0.126001421713253
"Boa Ventura",0.134285522844666
"Duas Estradas",0.13484683804027
"São José dos Cordeiros",0.135087994420115
"Várzea",0.136897649001134
"Catolé do Rocha",0.139954846712765
"Jacaraú",0.14146050113062
"Alhandra",0.151259364625924
"Patos",0.151955945162382
"Pedro Régis",0.153773959946329
"Conceição",0.166509822768988
"Gurinhém",0.17344546340932
"Boqueirão",0.174441000994239
"Guarabira",0.197081067569432
"São José de Espinharas",0.202360216705895
"Manaíra",0.211669201351847
"Santa Luzia",0.213299730741275
"Cajazeiras",0.220082078506483
"Pedras de Fogo",0.251155670854977
"Pilar",0.273532093158216
"Seridó",0.281146226611132
"Prata",0.299375841511428
"Santa Teresinha",0.314098157746144
"Sousa",0.324753407943438
"Santa Rita",0.326433037861816
"Paulista",0.340347337910685
"Bayeux",0.412574981630549
"Juarez Távora",0.451379817281714
"Cabedelo",0.4995114092005
"Campina Grande",0.85452760429622
"João Pessoa",1.25235058066019
